Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(83.04, 0.28)","(82.95, 0.29)","(84.91, 0.25)","(84.87, 0.25)","(53.01, 1.33)","(46.79, 0.21)","(71.49, 0.71)","(79.21, 0.52)","(71.41, 0.21)","(71.41, 0.21)"
emt-dlfr,"(83.28, 0.36)","(83.19, 0.37)","(85.36, 0.22)","(85.33, 0.2)","(52.38, 1.31)","(46.31, 1.28)","(71.55, 0.49)","(79.74, 0.19)","(71.05, 0.49)","(71.05, 0.49)"
emt-dlfr,"(83.19, 0.6)","(83.13, 0.6)","(85.01, 0.44)","(85.01, 0.43)","(52.92, 1.02)","(46.69, 1.08)","(71.88, 1.25)","(79.2, 0.95)","(71.69, 1.5)","(71.69, 1.5)"
emt-dlfr,"(82.7, 0.49)","(82.67, 0.47)","(84.25, 0.71)","(84.27, 0.68)","(52.38, 1.38)","(46.79, 1.44)","(72.27, 0.62)","(79.28, 0.49)","(71.87, 0.58)","(71.87, 0.58)"
emt-dlfr,"(83.19, 0.6)","(83.13, 0.6)","(85.01, 0.44)","(85.01, 0.43)","(52.92, 1.02)","(46.69, 1.08)","(71.88, 1.25)","(79.2, 0.95)","(71.69, 1.5)","(71.69, 1.5)"
