Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.9,,"(50.15, 2.48)","(46.02, 4.28)","(48.37, 2.64)","(44.48, 4.48)","(16.28, 0.68)","(16.28, 0.68)","(146.52, 1.07)","(8.63, 0.66)","(180.92, 2.65)","(146.51, 0.87)"
emt-dlfr,1.0,,"(50.63, 4.23)","(44.0, 11.67)","(49.04, 4.94)","(42.52, 12.51)","(16.47, 0.83)","(16.47, 0.83)","(147.23, 2.08)","(8.12, 0.73)","(182.49, 3.19)","(147.26, 1.85)"
emt-dlfr,AUC,,67.4,66.6,67.9,67.1,31.7,29.3,115.1,43.1,143.0,115.1
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,0.4,,"(72.01, 2.06)","(72.0, 2.05)","(72.87, 2.38)","(72.95, 2.36)","(33.58, 3.54)","(30.56, 2.46)","(109.55, 6.89)","(53.03, 2.0)","(156.98, 8.55)","(109.63, 7.54)"
emt-dlfr,0.5,,"(68.61, 0.59)","(68.33, 0.63)","(69.41, 0.56)","(69.26, 0.7)","(28.52, 1.96)","(27.21, 1.62)","(119.99, 1.74)","(44.54, 3.26)","(170.08, 3.08)","(119.72, 2.0)"
emt-dlfr,0.6,,"(64.38, 0.9)","(64.25, 0.74)","(64.28, 0.76)","(64.29, 0.69)","(26.0, 0.81)","(24.39, 0.84)","(131.8, 1.0)","(35.05, 2.54)","(181.51, 1.37)","(131.35, 0.66)"
emt-dlfr,0.7,,"(58.41, 1.73)","(56.67, 4.07)","(57.93, 2.39)","(56.33, 4.72)","(24.49, 2.42)","(22.79, 1.94)","(143.94, 3.95)","(28.53, 1.58)","(194.57, 4.88)","(143.77, 3.89)"
emt-dlfr,0.8,,"(59.72, 1.22)","(59.2, 1.51)","(59.65, 1.8)","(59.3, 2.04)","(22.55, 0.48)","(22.3, 0.31)","(137.63, 2.67)","(22.49, 3.6)","(170.4, 4.24)","(137.98, 2.97)"
emt-dlfr,0.9,,"(50.15, 2.48)","(46.02, 4.28)","(48.37, 2.64)","(44.48, 4.48)","(16.28, 0.68)","(16.28, 0.68)","(146.52, 1.07)","(8.63, 0.66)","(180.92, 2.65)","(146.51, 0.87)"
emt-dlfr,1.0,,"(50.63, 4.23)","(44.0, 11.67)","(49.04, 4.94)","(42.52, 12.51)","(16.47, 0.83)","(16.47, 0.83)","(147.23, 2.08)","(8.12, 0.73)","(182.49, 3.19)","(147.26, 1.85)"
emt-dlfr,AUC,,67.4,66.4,67.7,66.8,31.9,29.3,116.0,44.5,151.1,116.0
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(82.46, 0.42)","(82.39, 0.42)","(84.35, 0.29)","(84.35, 0.27)","(52.04, 0.72)","(45.58, 0.34)","(71.94, 0.94)","(78.95, 0.44)","(71.79, 0.62)","(71.79, 0.62)"
emt-dlfr,0.1,,"(80.32, 0.6)","(80.27, 0.57)","(82.11, 0.69)","(82.13, 0.66)","(49.13, 1.63)","(43.98, 1.42)","(77.88, 1.86)","(75.74, 0.36)","(100.34, 2.43)","(77.67, 1.96)"
emt-dlfr,0.2,,"(77.26, 1.68)","(77.32, 1.67)","(78.51, 1.59)","(78.63, 1.58)","(44.41, 1.5)","(39.11, 1.92)","(88.88, 3.45)","(68.93, 1.68)","(112.16, 3.72)","(89.58, 3.34)"
emt-dlfr,0.3,,"(75.61, 1.04)","(75.66, 1.04)","(76.27, 1.46)","(76.4, 1.45)","(39.12, 2.51)","(35.23, 2.34)","(96.91, 4.74)","(63.04, 1.44)","(121.86, 6.08)","(96.97, 4.95)"
emt-dlfr,0.4,,"(71.14, 0.93)","(71.17, 0.99)","(71.6, 1.16)","(71.72, 1.2)","(35.18, 2.51)","(31.44, 1.64)","(109.29, 5.97)","(54.13, 2.75)","(135.65, 6.33)","(109.52, 6.44)"
emt-dlfr,0.5,,"(68.56, 0.79)","(68.5, 0.84)","(69.31, 1.24)","(69.36, 1.23)","(27.45, 1.69)","(26.0, 1.48)","(118.81, 3.54)","(45.59, 2.62)","(144.57, 4.03)","(118.12, 3.58)"
emt-dlfr,0.6,,"(66.67, 1.22)","(66.73, 1.24)","(66.97, 0.71)","(67.14, 0.72)","(27.7, 2.74)","(26.24, 2.3)","(129.58, 6.18)","(34.09, 5.52)","(154.86, 6.67)","(129.54, 6.43)"
emt-dlfr,0.7,,"(62.0, 0.66)","(61.84, 0.53)","(62.86, 1.04)","(62.83, 0.98)","(21.48, 3.59)","(20.8, 2.93)","(136.13, 0.63)","(25.12, 5.18)","(162.95, 0.66)","(137.12, 1.05)"
emt-dlfr,0.8,,"(58.21, 2.26)","(57.82, 2.54)","(58.03, 2.81)","(57.79, 3.05)","(17.59, 0.56)","(17.45, 0.36)","(143.34, 4.39)","(13.18, 2.73)","(171.56, 4.81)","(143.46, 4.23)"
emt-dlfr,0.9,,"(54.52, 2.23)","(53.66, 3.51)","(54.12, 3.08)","(53.43, 4.31)","(16.04, 0.31)","(16.04, 0.31)","(144.28, 2.25)","(6.28, 0.27)","(173.18, 2.43)","(144.32, 2.32)"
emt-dlfr,1.0,,"(54.32, 1.53)","(53.63, 1.96)","(53.86, 2.23)","(53.34, 2.61)","(16.52, 0.37)","(16.52, 0.37)","(143.84, 2.62)","(7.41, 0.86)","(173.39, 3.45)","(143.51, 2.83)"
emt-dlfr,AUC,,68.3,68.1,68.9,68.8,31.2,28.7,115.3,42.9,140.0,115.4
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(80.37, 0.73)","(80.32, 0.64)","(82.01, 1.0)","(82.03, 0.92)","(48.2, 1.08)","(42.91, 0.79)","(78.59, 0.87)","(75.41, 0.37)","(91.33, 0.86)","(78.63, 0.84)"
emt-dlfr,0.2,,"(77.55, 0.97)","(77.57, 0.98)","(79.02, 0.94)","(79.11, 0.93)","(44.22, 1.69)","(39.26, 1.51)","(87.99, 1.91)","(69.3, 0.85)","(100.35, 2.09)","(87.94, 1.72)"
emt-dlfr,0.3,,"(75.56, 0.42)","(75.58, 0.44)","(76.78, 0.14)","(76.88, 0.16)","(41.16, 0.68)","(36.44, 0.93)","(94.41, 0.54)","(63.84, 0.07)","(108.15, 0.93)","(94.74, 0.63)"
emt-dlfr,0.4,,"(73.23, 0.78)","(73.24, 0.76)","(73.58, 1.21)","(73.68, 1.17)","(36.05, 1.19)","(31.78, 0.86)","(104.6, 1.9)","(55.78, 0.21)","(117.36, 1.57)","(104.0, 1.7)"
emt-dlfr,0.5,,"(67.59, 0.96)","(67.6, 1.01)","(68.4, 1.07)","(68.51, 1.11)","(27.16, 1.2)","(26.09, 1.44)","(120.15, 3.9)","(43.9, 0.73)","(135.36, 3.89)","(120.28, 3.42)"
emt-dlfr,0.6,,"(64.72, 0.63)","(64.63, 0.75)","(64.84, 0.72)","(64.86, 0.86)","(26.14, 1.44)","(24.83, 1.49)","(131.23, 6.79)","(35.39, 2.26)","(145.2, 6.41)","(130.86, 6.83)"
emt-dlfr,0.7,,"(60.84, 1.07)","(60.72, 1.27)","(61.08, 1.41)","(61.09, 1.6)","(25.03, 0.72)","(24.25, 0.5)","(134.12, 4.16)","(30.95, 0.71)","(147.73, 4.63)","(133.85, 3.67)"
emt-dlfr,0.8,,"(52.82, 6.05)","(47.01, 13.84)","(51.98, 7.37)","(46.26, 15.23)","(19.0, 3.13)","(18.85, 2.93)","(143.71, 4.3)","(12.23, 5.0)","(158.04, 4.9)","(143.45, 4.34)"
emt-dlfr,0.9,,"(53.69, 1.91)","(52.61, 3.06)","(53.05, 2.68)","(52.14, 3.77)","(16.28, 0.68)","(16.28, 0.68)","(145.63, 2.92)","(6.22, 1.57)","(160.05, 3.61)","(145.23, 3.12)"
emt-dlfr,1.0,,"(53.98, 3.36)","(52.43, 5.23)","(53.4, 4.25)","(52.02, 6.07)","(16.37, 0.49)","(16.37, 0.49)","(143.3, 2.4)","(7.32, 0.14)","(158.28, 3.23)","(142.94, 2.65)"
emt-dlfr,AUC,,67.5,66.7,68.0,67.3,31.7,29.1,114.8,43.7,127.9,114.7
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.0, 0.65)","(80.95, 0.58)","(82.62, 0.9)","(82.63, 0.82)","(50.24, 1.1)","(43.93, 1.1)","(78.34, 2.07)","(75.28, 0.62)","(100.49, 2.05)","(78.76, 1.39)"
emt-dlfr,0.2,,"(78.13, 0.72)","(78.16, 0.71)","(79.47, 0.76)","(79.57, 0.74)","(44.12, 0.92)","(39.11, 0.84)","(86.99, 1.03)","(70.42, 0.51)","(108.38, 1.55)","(87.43, 1.37)"
emt-dlfr,0.3,,"(75.75, 0.78)","(75.71, 0.77)","(76.88, 1.2)","(76.92, 1.18)","(38.19, 4.0)","(34.06, 3.99)","(97.01, 4.98)","(63.86, 1.05)","(121.4, 6.39)","(97.1, 4.86)"
emt-dlfr,0.4,,"(71.62, 0.77)","(71.69, 0.77)","(72.31, 0.63)","(72.45, 0.61)","(35.13, 3.21)","(31.68, 2.62)","(107.21, 4.13)","(54.84, 2.33)","(131.47, 4.93)","(107.62, 4.39)"
emt-dlfr,0.5,,"(68.17, 1.46)","(68.09, 1.27)","(68.75, 1.84)","(68.77, 1.65)","(31.29, 1.53)","(28.57, 0.63)","(119.1, 5.15)","(44.98, 2.65)","(141.85, 5.31)","(118.39, 5.06)"
emt-dlfr,0.6,,"(64.77, 1.81)","(64.72, 2.0)","(65.34, 1.45)","(65.41, 1.64)","(24.29, 1.43)","(23.71, 1.03)","(127.67, 0.82)","(33.74, 3.55)","(151.71, 0.79)","(127.56, 1.17)"
emt-dlfr,0.7,,"(62.39, 1.96)","(60.37, 4.24)","(63.87, 1.63)","(62.1, 3.39)","(23.56, 3.4)","(22.84, 3.21)","(131.25, 2.54)","(29.23, 3.19)","(154.77, 1.8)","(131.28, 2.33)"
emt-dlfr,0.8,,"(57.0, 1.69)","(56.66, 1.77)","(57.11, 2.26)","(56.91, 2.29)","(18.85, 3.31)","(18.76, 3.17)","(140.56, 3.48)","(11.94, 4.65)","(164.12, 4.49)","(140.16, 3.72)"
emt-dlfr,0.9,,"(54.03, 1.08)","(52.97, 1.52)","(52.95, 1.17)","(52.09, 1.62)","(18.37, 2.39)","(18.13, 2.05)","(145.59, 0.67)","(10.06, 3.03)","(171.25, 2.18)","(145.88, 0.19)"
emt-dlfr,1.0,,"(52.57, 0.18)","(50.72, 0.59)","(51.17, 0.31)","(49.55, 0.72)","(16.13, 0.54)","(16.13, 0.54)","(145.12, 1.41)","(8.26, 0.44)","(171.67, 2.45)","(145.14, 1.18)"
emt-dlfr,AUC,,68.1,67.6,68.7,68.4,31.8,29.1,114.2,43.8,136.7,114.3
emt-dlfr,0.0,,"(82.65, 0.0)","(82.61, 0.02)","(84.2, 0.31)","(84.21, 0.29)","(51.65, 2.03)","(45.43, 1.89)","(71.68, 1.5)","(79.72, 0.56)","(71.76, 1.62)","(71.76, 1.62)"
emt-dlfr,0.1,,"(80.27, 0.66)","(80.18, 0.58)","(81.96, 0.8)","(81.94, 0.73)","(48.83, 2.04)","(43.2, 1.79)","(77.61, 0.93)","(75.92, 0.58)","(99.54, 2.09)","(77.96, 1.66)"
emt-dlfr,0.2,,"(78.96, 0.3)","(78.98, 0.29)","(80.38, 0.29)","(80.47, 0.26)","(44.51, 1.8)","(39.4, 1.38)","(87.33, 1.15)","(70.15, 0.48)","(109.65, 2.11)","(87.55, 1.61)"
emt-dlfr,0.3,,"(75.7, 0.99)","(75.69, 1.09)","(76.93, 0.73)","(76.99, 0.82)","(40.53, 2.61)","(36.35, 2.17)","(96.18, 2.19)","(63.58, 0.48)","(119.92, 2.17)","(95.81, 2.35)"
emt-dlfr,0.4,,"(72.84, 1.44)","(72.9, 1.43)","(73.37, 1.44)","(73.52, 1.43)","(35.52, 0.9)","(31.19, 0.52)","(106.27, 2.08)","(56.73, 0.43)","(132.23, 3.05)","(106.81, 2.19)"
emt-dlfr,0.5,,"(69.0, 1.38)","(68.95, 1.49)","(69.51, 1.32)","(69.57, 1.43)","(29.1, 2.71)","(27.5, 1.91)","(122.11, 3.55)","(46.53, 2.37)","(150.26, 4.02)","(122.39, 3.67)"
