Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.5,,"(68.42, 1.37)","(68.46, 1.35)","(69.16, 1.06)","(69.31, 1.04)","(27.84, 1.96)","(26.58, 1.72)","(119.64, 3.14)","(45.2, 2.06)","(145.7, 3.1)","(119.17, 3.42)"
emt-dlfr,0.6,,"(64.77, 1.34)","(64.33, 2.04)","(64.68, 2.01)","(64.38, 2.66)","(25.32, 1.9)","(24.39, 1.87)","(129.98, 5.93)","(36.64, 1.94)","(157.75, 6.06)","(130.27, 6.51)"
emt-dlfr,0.7,,"(63.12, 1.37)","(62.62, 1.11)","(64.43, 1.72)","(64.09, 1.46)","(27.16, 1.31)","(26.0, 1.21)","(127.34, 3.65)","(32.25, 2.96)","(153.37, 1.9)","(126.53, 3.6)"
emt-dlfr,0.8,,"(59.09, 0.77)","(58.6, 0.77)","(58.59, 0.69)","(58.27, 0.69)","(22.69, 0.78)","(21.28, 1.04)","(142.25, 1.89)","(25.26, 2.87)","(168.11, 1.67)","(141.91, 1.94)"
emt-dlfr,0.9,,"(56.03, 0.34)","(56.0, 0.43)","(55.95, 0.37)","(56.06, 0.48)","(16.23, 0.25)","(16.23, 0.25)","(147.46, 3.43)","(4.97, 2.97)","(176.08, 2.65)","(147.28, 3.35)"
emt-dlfr,1.0,,"(53.59, 0.56)","(52.61, 1.11)","(52.59, 0.86)","(51.82, 1.4)","(16.28, 0.25)","(16.28, 0.25)","(145.53, 0.37)","(7.93, 0.19)","(174.92, 1.32)","(145.54, 0.62)"
emt-dlfr,AUC,,68.3,68.1,68.9,68.8,32.2,29.6,114.6,45.1,139.3,114.4
emt-dlfr,0.0,,"(82.85, 0.45)","(82.83, 0.45)","(84.4, 0.52)","(84.43, 0.52)","(51.75, 0.72)","(46.02, 0.55)","(72.82, 1.12)","(79.14, 0.39)","(72.52, 1.54)","(72.52, 1.54)"
emt-dlfr,0.1,,"(80.17, 0.12)","(80.08, 0.13)","(82.06, 0.29)","(82.05, 0.27)","(48.2, 0.37)","(42.76, 0.81)","(78.66, 0.58)","(75.27, 0.36)","(102.53, 0.9)","(78.78, 0.57)"
emt-dlfr,0.2,,"(78.23, 0.86)","(78.21, 0.85)","(79.83, 0.68)","(79.88, 0.67)","(45.67, 1.31)","(40.33, 1.98)","(86.56, 0.51)","(70.02, 0.78)","(110.52, 0.4)","(86.89, 0.75)"
emt-dlfr,0.3,,"(74.63, 1.02)","(74.66, 1.05)","(75.76, 0.78)","(75.87, 0.81)","(38.14, 1.42)","(34.55, 1.24)","(97.72, 1.72)","(63.18, 0.29)","(121.88, 2.42)","(97.66, 2.36)"
emt-dlfr,0.4,,"(71.72, 0.78)","(71.71, 0.75)","(72.31, 1.0)","(72.38, 0.95)","(36.74, 3.89)","(32.65, 2.86)","(106.76, 3.83)","(55.7, 1.04)","(132.47, 4.26)","(106.68, 4.16)"
emt-dlfr,0.5,,"(68.9, 1.11)","(68.95, 1.1)","(69.46, 0.81)","(69.62, 0.81)","(31.83, 2.82)","(28.81, 2.36)","(116.15, 3.4)","(47.09, 3.25)","(143.66, 2.88)","(116.47, 3.58)"
emt-dlfr,0.6,,"(65.99, 2.05)","(65.85, 2.09)","(66.21, 2.14)","(66.17, 2.14)","(27.5, 1.16)","(26.14, 0.89)","(127.7, 3.38)","(36.71, 2.8)","(154.83, 4.23)","(127.94, 3.29)"
