Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(66.72, 1.22)","(66.7, 1.19)","(67.84, 1.25)","(67.93, 1.2)","(29.88, 4.37)","(27.79, 3.26)","(120.19, 4.45)","(43.48, 3.25)","(148.38, 5.98)","(120.55, 4.91)"
emt-dlfr,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,"(66.28, 3.24)","(65.93, 3.68)","(66.82, 3.91)","(66.58, 4.34)","(27.5, 3.28)","(25.51, 2.1)","(123.44, 11.67)","(43.06, 5.19)","(150.14, 11.73)","(123.5, 12.16)"
emt-dlfr,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,"(67.98, 0.96)","(67.86, 1.0)","(68.8, 1.37)","(68.79, 1.4)","(29.93, 2.46)","(27.94, 1.62)","(120.87, 8.19)","(44.42, 3.23)","(148.4, 7.21)","(121.36, 8.65)"
emt-dlfr,"(68.42, 1.37)","(68.46, 1.35)","(69.16, 1.06)","(69.31, 1.04)","(27.84, 1.96)","(26.58, 1.72)","(119.64, 3.14)","(45.2, 2.06)","(145.7, 3.1)","(119.17, 3.42)"
emt-dlfr,"(68.9, 1.11)","(68.95, 1.1)","(69.46, 0.81)","(69.62, 0.81)","(31.83, 2.82)","(28.81, 2.36)","(116.15, 3.4)","(47.09, 3.25)","(143.66, 2.88)","(116.47, 3.58)"
emt-dlfr,"(67.25, 2.1)","(67.3, 2.09)","(68.09, 2.23)","(68.25, 2.21)","(29.54, 1.79)","(27.26, 1.14)","(122.54, 4.16)","(39.11, 2.51)","(144.68, 4.41)","(122.26, 4.46)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(69.19, 1.13)","(69.22, 1.11)","(69.76, 0.63)","(69.9, 0.61)","(29.25, 2.72)","(27.36, 2.2)","(118.34, 2.3)","(46.62, 2.77)","(139.73, 2.22)","(118.02, 2.24)"
emt-dlfr,"(67.93, 0.62)","(67.85, 0.83)","(68.34, 1.11)","(68.37, 1.3)","(31.34, 3.35)","(28.33, 3.03)","(122.78, 7.25)","(45.72, 1.91)","(152.01, 7.59)","(123.93, 7.65)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(69.34, 0.67)","(69.29, 0.59)","(70.22, 0.75)","(70.26, 0.64)","(30.47, 2.07)","(28.28, 1.24)","(118.41, 3.47)","(46.04, 1.85)","(147.04, 5.43)","(118.7, 3.85)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(67.59, 0.96)","(67.6, 1.01)","(68.4, 1.07)","(68.51, 1.11)","(27.16, 1.2)","(26.09, 1.44)","(120.15, 3.9)","(43.9, 0.73)","(135.36, 3.89)","(120.28, 3.42)"
emt-dlfr,"(65.31, 3.7)","(65.21, 3.8)","(66.21, 3.81)","(66.23, 3.88)","(28.33, 3.59)","(26.77, 2.86)","(121.08, 8.25)","(41.83, 6.31)","(147.63, 7.58)","(121.67, 7.79)"
emt-dlfr,"(69.63, 0.48)","(69.7, 0.46)","(70.48, 0.61)","(70.64, 0.59)","(30.08, 2.36)","(27.99, 1.68)","(115.8, 0.61)","(46.62, 1.05)","(141.16, 0.66)","(115.41, 0.84)"
emt-dlfr,"(68.37, 1.09)","(68.36, 1.15)","(69.26, 1.33)","(69.35, 1.39)","(28.72, 3.33)","(26.82, 2.32)","(124.48, 6.11)","(44.84, 2.23)","(141.09, 6.53)","(124.37, 6.53)"
emt-dlfr,"(68.81, 1.06)","(68.85, 1.06)","(69.67, 1.08)","(69.81, 1.06)","(30.47, 1.75)","(28.43, 1.04)","(116.98, 4.18)","(46.48, 2.19)","(136.3, 3.68)","(117.07, 4.32)"
emt-dlfr,"(68.81, 1.06)","(68.85, 1.06)","(69.67, 1.08)","(69.81, 1.06)","(30.47, 1.75)","(28.43, 1.04)","(116.98, 4.18)","(46.48, 2.19)","(136.3, 3.68)","(117.07, 4.32)"
emt-dlfr,"(68.51, 3.75)","(68.59, 3.75)","(69.21, 3.44)","(69.38, 3.42)","(29.01, 0.43)","(27.84, 0.48)","(122.1, 6.09)","(42.29, 6.38)","(154.99, 3.96)","(122.51, 5.14)"
emt-dlfr,"(68.61, 0.59)","(68.33, 0.63)","(69.41, 0.56)","(69.26, 0.7)","(28.52, 1.96)","(27.21, 1.62)","(119.99, 1.74)","(44.54, 3.26)","(170.08, 3.08)","(119.72, 2.0)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(68.56, 0.79)","(68.5, 0.84)","(69.31, 1.24)","(69.36, 1.23)","(27.45, 1.69)","(26.0, 1.48)","(118.81, 3.54)","(45.59, 2.62)","(144.57, 4.03)","(118.12, 3.58)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,"(67.59, 0.96)","(67.6, 1.01)","(68.4, 1.07)","(68.51, 1.11)","(27.16, 1.2)","(26.09, 1.44)","(120.15, 3.9)","(43.9, 0.73)","(135.36, 3.89)","(120.28, 3.42)"
emt-dlfr,"(68.17, 1.46)","(68.09, 1.27)","(68.75, 1.84)","(68.77, 1.65)","(31.29, 1.53)","(28.57, 0.63)","(119.1, 5.15)","(44.98, 2.65)","(141.85, 5.31)","(118.39, 5.06)"
emt-dlfr,"(69.0, 1.38)","(68.95, 1.49)","(69.51, 1.32)","(69.57, 1.43)","(29.1, 2.71)","(27.5, 1.91)","(122.11, 3.55)","(46.53, 2.37)","(150.26, 4.02)","(122.39, 3.67)"
emt-dlfr,"(70.31, 0.42)","(70.35, 0.46)","(70.83, 0.31)","(70.97, 0.31)","(34.65, 0.55)","(31.0, 0.6)","(112.46, 1.32)","(50.11, 0.49)","(141.02, 1.7)","(112.41, 1.06)"
emt-dlfr,"(56.85, 5.47)","(55.44, 5.81)","(56.56, 6.82)","(55.35, 7.13)","(20.89, 3.87)","(20.31, 3.19)","(137.36, 8.37)","(23.31, 7.59)","(157.83, 8.14)","(137.96, 7.87)"
