Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(61.76, 1.6)","(61.59, 1.69)","(62.25, 1.58)","(62.21, 1.59)","(24.49, 3.35)","(23.66, 2.3)","(133.46, 5.21)","(27.49, 6.57)","(162.64, 6.98)","(133.32, 4.91)"
emt-dlfr,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,"(56.22, 6.77)","(51.07, 13.55)","(55.49, 7.99)","(50.43, 14.81)","(22.4, 4.91)","(21.82, 4.28)","(141.03, 4.81)","(22.88, 10.85)","(165.92, 3.54)","(140.45, 4.83)"
emt-dlfr,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,"(64.67, 0.84)","(64.52, 0.74)","(65.04, 1.22)","(65.01, 1.18)","(27.07, 1.16)","(25.7, 0.88)","(129.09, 0.63)","(34.29, 3.36)","(156.09, 0.78)","(128.97, 0.26)"
emt-dlfr,"(64.77, 1.34)","(64.33, 2.04)","(64.68, 2.01)","(64.38, 2.66)","(25.32, 1.9)","(24.39, 1.87)","(129.98, 5.93)","(36.64, 1.94)","(157.75, 6.06)","(130.27, 6.51)"
emt-dlfr,"(65.99, 2.05)","(65.85, 2.09)","(66.21, 2.14)","(66.17, 2.14)","(27.5, 1.16)","(26.14, 0.89)","(127.7, 3.38)","(36.71, 2.8)","(154.83, 4.23)","(127.94, 3.29)"
emt-dlfr,"(65.6, 0.78)","(65.57, 0.69)","(65.8, 0.64)","(65.9, 0.56)","(27.7, 1.15)","(26.53, 0.62)","(127.02, 1.8)","(37.82, 0.93)","(152.02, 0.91)","(127.59, 2.6)"
emt-dlfr,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,"(64.48, 3.21)","(64.17, 3.74)","(64.53, 3.49)","(64.34, 4.02)","(26.1, 2.28)","(24.68, 2.16)","(131.06, 9.91)","(36.76, 4.34)","(153.89, 10.42)","(131.62, 10.22)"
emt-dlfr,"(65.35, 0.66)","(65.45, 0.65)","(66.01, 0.62)","(66.21, 0.62)","(28.04, 0.6)","(25.95, 0.66)","(127.01, 1.86)","(36.13, 1.12)","(153.86, 2.53)","(126.11, 1.53)"
emt-dlfr,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
