Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(76.09, 0.9)","(76.12, 0.89)","(77.23, 1.01)","(77.34, 1.0)","(42.95, 1.01)","(38.68, 1.12)","(93.63, 1.8)","(63.69, 1.3)","(119.32, 0.78)","(93.68, 1.56)"
emt-dlfr,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,"(74.35, 0.93)","(74.36, 0.91)","(75.51, 1.5)","(75.61, 1.47)","(37.75, 3.0)","(33.82, 2.16)","(98.39, 3.88)","(61.46, 1.27)","(123.49, 4.72)","(98.5, 4.1)"
emt-dlfr,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,"(75.07, 0.72)","(74.93, 0.87)","(76.57, 0.19)","(76.53, 0.33)","(40.23, 0.86)","(35.18, 1.3)","(94.32, 0.69)","(63.71, 1.17)","(120.08, 0.45)","(94.55, 0.59)"
emt-dlfr,"(74.93, 1.14)","(74.99, 1.13)","(76.07, 0.86)","(76.2, 0.86)","(39.46, 0.96)","(35.52, 0.79)","(96.81, 1.24)","(63.31, 1.55)","(121.99, 1.51)","(96.87, 1.43)"
emt-dlfr,"(74.63, 1.02)","(74.66, 1.05)","(75.76, 0.78)","(75.87, 0.81)","(38.14, 1.42)","(34.55, 1.24)","(97.72, 1.72)","(63.18, 0.29)","(121.88, 2.42)","(97.66, 2.36)"
emt-dlfr,"(73.91, 0.48)","(73.87, 0.54)","(75.56, 0.31)","(75.62, 0.36)","(41.35, 0.48)","(36.88, 0.41)","(95.96, 0.87)","(61.13, 1.37)","(118.76, 0.86)","(95.79, 0.69)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,"(75.85, 0.38)","(75.91, 0.38)","(76.68, 0.57)","(76.81, 0.56)","(40.72, 1.07)","(36.59, 0.54)","(96.19, 1.65)","(63.08, 0.85)","(120.0, 0.59)","(95.81, 1.87)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(75.32, 0.36)","(75.33, 0.37)","(76.22, 0.57)","(76.31, 0.56)","(39.7, 1.36)","(35.32, 1.33)","(97.06, 3.11)","(62.47, 0.77)","(122.78, 6.07)","(97.58, 3.54)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(75.56, 0.42)","(75.58, 0.44)","(76.78, 0.14)","(76.88, 0.16)","(41.16, 0.68)","(36.44, 0.93)","(94.41, 0.54)","(63.84, 0.07)","(108.15, 0.93)","(94.74, 0.63)"
emt-dlfr,"(75.85, 1.17)","(75.72, 1.26)","(77.33, 1.04)","(77.3, 1.08)","(40.18, 2.38)","(35.81, 2.3)","(93.57, 1.93)","(64.54, 1.2)","(119.42, 2.76)","(93.91, 1.95)"
emt-dlfr,"(75.95, 0.63)","(75.98, 0.58)","(76.98, 0.97)","(77.09, 0.93)","(40.28, 1.85)","(36.06, 1.67)","(95.52, 2.04)","(63.64, 0.36)","(120.37, 2.42)","(95.66, 1.64)"
emt-dlfr,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(75.61, 1.04)","(75.66, 1.04)","(76.27, 1.46)","(76.4, 1.45)","(39.12, 2.51)","(35.23, 2.34)","(96.91, 4.74)","(63.04, 1.44)","(121.86, 6.08)","(96.97, 4.95)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,"(75.56, 0.42)","(75.58, 0.44)","(76.78, 0.14)","(76.88, 0.16)","(41.16, 0.68)","(36.44, 0.93)","(94.41, 0.54)","(63.84, 0.07)","(108.15, 0.93)","(94.74, 0.63)"
emt-dlfr,"(75.75, 0.78)","(75.71, 0.77)","(76.88, 1.2)","(76.92, 1.18)","(38.19, 4.0)","(34.06, 3.99)","(97.01, 4.98)","(63.86, 1.05)","(121.4, 6.39)","(97.1, 4.86)"
emt-dlfr,"(75.7, 0.99)","(75.69, 1.09)","(76.93, 0.73)","(76.99, 0.82)","(40.53, 2.61)","(36.35, 2.17)","(96.18, 2.19)","(63.58, 0.48)","(119.92, 2.17)","(95.81, 2.35)"
emt-dlfr,"(76.04, 0.42)","(75.97, 0.54)","(77.39, 0.38)","(77.38, 0.48)","(42.81, 0.07)","(38.53, 0.18)","(91.05, 0.46)","(65.67, 1.02)","(115.98, 1.02)","(91.36, 0.49)"
