Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(78.33, 0.14)","(78.36, 0.13)","(79.62, 0.08)","(79.72, 0.04)","(45.24, 1.43)","(40.47, 1.25)","(86.99, 1.63)","(69.76, 0.73)","(105.94, 2.58)","(87.0, 2.4)"
emt-dlfr,"(77.84, 0.52)","(77.88, 0.5)","(79.12, 0.65)","(79.22, 0.62)","(42.95, 1.18)","(38.78, 0.52)","(88.13, 0.42)","(69.33, 0.31)","(111.76, 1.05)","(88.23, 0.77)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(78.47, 0.38)","(78.48, 0.39)","(79.83, 0.36)","(79.89, 0.37)","(43.93, 1.13)","(39.21, 0.83)","(87.55, 2.41)","(69.54, 1.1)","(109.93, 1.89)","(87.14, 2.03)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.55, 0.97)","(77.57, 0.98)","(79.02, 0.94)","(79.11, 0.93)","(44.22, 1.69)","(39.26, 1.51)","(87.99, 1.91)","(69.3, 0.85)","(100.35, 2.09)","(87.94, 1.72)"
emt-dlfr,"(77.75, 0.65)","(77.8, 0.65)","(79.01, 0.69)","(79.14, 0.68)","(43.05, 1.31)","(37.9, 0.94)","(89.33, 1.79)","(69.27, 0.98)","(112.62, 2.12)","(89.29, 1.62)"
emt-dlfr,"(77.84, 0.43)","(77.87, 0.42)","(79.17, 0.44)","(79.27, 0.41)","(42.57, 0.83)","(37.85, 0.56)","(89.81, 1.84)","(69.17, 1.07)","(114.53, 2.43)","(90.42, 1.79)"
emt-dlfr,"(78.33, 0.14)","(78.36, 0.13)","(79.62, 0.08)","(79.72, 0.04)","(45.24, 1.43)","(40.47, 1.25)","(86.99, 1.63)","(69.76, 0.73)","(105.94, 2.58)","(87.0, 2.4)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.26, 1.68)","(77.32, 1.67)","(78.51, 1.59)","(78.63, 1.58)","(44.41, 1.5)","(39.11, 1.92)","(88.88, 3.45)","(68.93, 1.68)","(112.16, 3.72)","(89.58, 3.34)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,"(77.55, 0.97)","(77.57, 0.98)","(79.02, 0.94)","(79.11, 0.93)","(44.22, 1.69)","(39.26, 1.51)","(87.99, 1.91)","(69.3, 0.85)","(100.35, 2.09)","(87.94, 1.72)"
emt-dlfr,"(78.13, 0.72)","(78.16, 0.71)","(79.47, 0.76)","(79.57, 0.74)","(44.12, 0.92)","(39.11, 0.84)","(86.99, 1.03)","(70.42, 0.51)","(108.38, 1.55)","(87.43, 1.37)"
emt-dlfr,"(78.96, 0.3)","(78.98, 0.29)","(80.38, 0.29)","(80.47, 0.26)","(44.51, 1.8)","(39.4, 1.38)","(87.33, 1.15)","(70.15, 0.48)","(109.65, 2.11)","(87.55, 1.61)"
emt-dlfr,"(79.01, 0.67)","(79.02, 0.66)","(80.18, 0.66)","(80.25, 0.64)","(44.07, 1.33)","(39.75, 1.22)","(86.0, 1.77)","(70.51, 0.48)","(110.33, 2.14)","(86.69, 1.95)"
emt-dlfr,"(59.91, 8.57)","(58.88, 9.47)","(60.11, 9.94)","(59.23, 10.8)","(22.35, 5.66)","(21.53, 4.79)","(133.31, 15.33)","(27.69, 17.64)","(151.72, 13.94)","(133.18, 14.92)"
emt-dlfr,"(77.45, 0.54)","(77.49, 0.52)","(78.91, 0.63)","(79.01, 0.61)","(43.73, 0.86)","(39.02, 0.73)","(88.51, 1.61)","(69.33, 0.47)","(111.55, 1.52)","(88.58, 1.68)"
emt-dlfr,"(77.7, 0.67)","(77.73, 0.65)","(79.17, 0.71)","(79.27, 0.69)","(43.73, 2.15)","(39.41, 1.79)","(88.26, 1.8)","(68.8, 0.43)","(111.13, 2.32)","(88.2, 1.85)"
emt-dlfr,"(78.08, 0.18)","(78.12, 0.18)","(79.32, 0.4)","(79.42, 0.37)","(42.42, 0.47)","(37.37, 0.84)","(90.7, 1.28)","(69.2, 0.76)","(114.31, 2.18)","(90.59, 1.21)"
emt-dlfr,"(77.94, 1.0)","(77.98, 0.98)","(79.22, 0.93)","(79.32, 0.91)","(43.25, 0.55)","(37.9, 0.52)","(89.66, 0.68)","(68.85, 0.25)","(112.55, 0.41)","(89.44, 0.92)"
emt-dlfr,"(76.77, 1.08)","(76.77, 1.08)","(77.9, 1.83)","(77.97, 1.82)","(40.43, 3.45)","(36.05, 2.66)","(92.93, 6.25)","(68.12, 1.8)","(116.66, 7.05)","(93.05, 6.3)"
emt-dlfr,"(77.36, 0.77)","(77.41, 0.77)","(78.31, 0.58)","(78.43, 0.58)","(40.67, 0.83)","(36.05, 0.7)","(91.6, 1.13)","(68.68, 0.8)","(114.48, 1.83)","(91.64, 1.11)"
emt-dlfr,"(77.26, 0.21)","(77.28, 0.18)","(78.51, 0.5)","(78.6, 0.47)","(43.0, 0.78)","(38.14, 0.6)","(89.26, 0.7)","(69.05, 0.38)","(111.67, 1.08)","(88.87, 0.91)"
emt-dlfr,"(77.94, 1.31)","(77.99, 1.3)","(79.06, 1.42)","(79.18, 1.4)","(41.89, 1.88)","(37.61, 1.58)","(90.6, 3.03)","(68.75, 0.23)","(113.63, 3.59)","(90.59, 3.27)"
emt-dlfr,"(77.74, 0.36)","(77.76, 0.38)","(79.17, 0.36)","(79.25, 0.37)","(42.86, 0.36)","(38.05, 1.69)","(89.54, 0.64)","(69.13, 0.42)","(112.37, 0.81)","(89.49, 1.11)"
emt-dlfr,"(77.65, 0.66)","(77.66, 0.64)","(78.96, 0.75)","(79.04, 0.72)","(43.44, 1.55)","(39.36, 1.44)","(87.95, 1.17)","(69.48, 0.68)","(110.07, 1.04)","(87.76, 1.13)"
emt-dlfr,"(78.14, 0.41)","(78.14, 0.43)","(79.57, 0.45)","(79.65, 0.46)","(43.88, 1.33)","(38.78, 1.21)","(88.19, 0.97)","(69.66, 0.33)","(110.25, 0.56)","(87.81, 0.76)"
emt-dlfr,"(77.65, 0.79)","(77.67, 0.78)","(78.91, 0.83)","(79.0, 0.81)","(42.86, 0.2)","(37.8, 0.36)","(89.78, 1.1)","(68.62, 0.68)","(113.15, 1.32)","(89.6, 1.25)"
emt-dlfr,"(77.11, 0.66)","(77.17, 0.67)","(78.05, 0.57)","(78.17, 0.57)","(42.71, 0.12)","(38.68, 0.14)","(89.97, 1.3)","(69.1, 0.28)","(112.85, 1.5)","(89.95, 1.44)"
emt-dlfr,"(77.7, 1.09)","(77.73, 1.07)","(78.96, 1.12)","(79.06, 1.09)","(43.73, 2.12)","(39.36, 1.95)","(88.93, 3.43)","(69.58, 0.92)","(112.09, 4.1)","(88.76, 3.5)"
emt-dlfr,"(77.11, 0.66)","(77.17, 0.67)","(78.05, 0.57)","(78.17, 0.57)","(42.71, 0.12)","(38.68, 0.14)","(89.97, 1.3)","(69.1, 0.28)","(112.85, 1.5)","(89.95, 1.44)"
emt-dlfr,"(78.09, 0.76)","(78.12, 0.76)","(79.32, 0.94)","(79.42, 0.93)","(43.68, 0.61)","(38.92, 0.66)","(87.38, 0.51)","(69.57, 0.54)","(109.9, 0.48)","(87.18, 0.55)"
emt-dlfr,"(79.01, 0.54)","(79.02, 0.52)","(80.13, 0.69)","(80.2, 0.66)","(43.78, 1.85)","(38.97, 1.93)","(86.95, 1.69)","(70.45, 0.47)","(-170.21, 7.37)","(86.83, 0.69)"
emt-dlfr,"(78.04, 0.37)","(78.06, 0.34)","(79.07, 0.43)","(79.15, 0.41)","(43.34, 1.55)","(38.73, 1.48)","(86.46, 0.71)","(70.44, 0.56)","(-169.22, 1.73)","(86.21, 0.32)"
emt-dlfr,"(78.04, 0.37)","(78.06, 0.34)","(79.07, 0.43)","(79.15, 0.41)","(43.34, 1.55)","(38.73, 1.48)","(86.46, 0.71)","(70.44, 0.56)","(-169.22, 1.73)","(86.21, 0.32)"
emt-dlfr,"(78.96, 0.07)","(79.0, 0.08)","(80.08, 0.14)","(80.18, 0.13)","(43.0, 1.37)","(38.24, 1.01)","(87.72, 2.27)","(70.83, 0.65)","(-164.66, 7.27)","(87.98, 2.26)"
emt-dlfr,"(78.62, 0.77)","(78.64, 0.74)","(79.62, 0.92)","(79.7, 0.89)","(43.2, 3.45)","(38.82, 2.78)","(88.45, 2.97)","(69.46, 0.57)","(85.36, 2.13)","(88.94, 2.55)"
emt-dlfr,"(78.23, 0.5)","(78.27, 0.48)","(79.32, 0.71)","(79.42, 0.7)","(43.83, 2.55)","(39.02, 2.05)","(87.84, 2.54)","(70.05, 0.85)","(-222.5, 4.91)","(88.2, 1.84)"
emt-dlfr,"(77.84, 1.03)","(77.83, 0.94)","(79.12, 1.51)","(79.17, 1.43)","(42.76, 2.1)","(38.78, 1.99)","(88.25, 2.56)","(69.76, 1.01)","(-218.87, 4.37)","(87.79, 2.16)"
emt-dlfr,"(78.04, 0.77)","(78.06, 0.75)","(79.07, 1.05)","(79.15, 1.02)","(43.63, 1.42)","(39.02, 1.16)","(88.95, 2.89)","(69.55, 0.75)","(-162.0, 4.87)","(88.62, 2.49)"
emt-dlfr,"(78.38, 0.77)","(78.41, 0.74)","(79.52, 0.8)","(79.62, 0.76)","(43.68, 1.08)","(38.73, 1.17)","(87.54, 2.08)","(70.45, 0.64)","(-169.19, 7.97)","(86.99, 1.7)"
emt-dlfr,"(78.33, 0.42)","(78.31, 0.36)","(79.52, 0.5)","(79.56, 0.44)","(44.85, 1.32)","(40.04, 1.08)","(86.41, 1.65)","(69.71, 0.75)","(-170.32, 5.52)","(87.06, 1.45)"
emt-dlfr,"(77.79, 0.79)","(77.85, 0.79)","(78.66, 0.99)","(78.78, 0.98)","(42.03, 0.66)","(37.61, 0.71)","(89.44, 1.88)","(69.87, 0.84)","(-170.02, 5.69)","(89.5, 1.34)"
emt-dlfr,"(78.67, 0.38)","(78.67, 0.4)","(79.78, 0.38)","(79.84, 0.39)","(43.93, 0.48)","(39.5, 0.31)","(86.98, 0.83)","(69.85, 0.29)","(-165.74, 6.78)","(86.85, 1.37)"
emt-dlfr,"(77.84, 0.93)","(77.87, 0.92)","(78.96, 0.87)","(79.05, 0.86)","(43.44, 0.78)","(38.97, 0.5)","(88.03, 1.23)","(69.71, 0.68)","(-166.74, 3.94)","(87.87, 1.72)"
emt-dlfr,"(78.18, 0.86)","(78.22, 0.85)","(79.11, 0.99)","(79.22, 0.97)","(42.42, 0.86)","(38.43, 0.89)","(88.03, 1.2)","(70.16, 0.94)","(-163.78, 3.39)","(87.54, 0.72)"
emt-dlfr,"(78.13, 0.59)","(78.17, 0.57)","(79.27, 0.82)","(79.37, 0.79)","(43.78, 1.39)","(39.84, 1.13)","(88.3, 2.44)","(69.92, 0.72)","(-171.35, 6.5)","(88.38, 2.11)"
emt-dlfr,"(77.75, 0.25)","(77.79, 0.24)","(78.71, 0.59)","(78.82, 0.58)","(41.01, 0.34)","(36.64, 0.45)","(91.22, 1.84)","(69.43, 0.87)","(114.3, 2.11)","(91.16, 2.49)"
emt-dlfr,"(77.99, 0.97)","(78.03, 0.98)","(79.01, 0.79)","(79.12, 0.79)","(43.49, 1.04)","(38.73, 0.61)","(88.83, 0.82)","(69.75, 0.44)","(111.81, 0.63)","(88.74, 1.28)"
emt-dlfr,"(78.43, 0.24)","(78.44, 0.24)","(79.78, 0.19)","(79.85, 0.18)","(44.56, 1.31)","(40.43, 1.08)","(85.75, 1.56)","(70.45, 0.16)","(110.09, 2.31)","(85.42, 1.95)"
emt-dlfr,"(78.62, 0.66)","(78.64, 0.64)","(79.83, 0.69)","(79.9, 0.67)","(44.85, 1.49)","(40.33, 1.37)","(85.83, 1.87)","(70.63, 0.7)","(109.52, 1.79)","(85.51, 1.51)"
emt-dlfr,"(79.15, 0.21)","(79.16, 0.18)","(80.44, 0.31)","(80.51, 0.29)","(44.8, 1.74)","(40.04, 1.67)","(84.81, 1.39)","(71.19, 0.43)","(108.13, 1.94)","(84.31, 1.23)"
emt-dlfr,"(78.72, 0.41)","(78.74, 0.41)","(79.93, 0.4)","(80.01, 0.39)","(45.38, 0.89)","(40.38, 1.09)","(85.88, 1.4)","(70.58, 0.41)","(109.42, 1.32)","(85.36, 1.38)"
emt-dlfr,"(79.44, 1.25)","(79.46, 1.22)","(80.59, 1.5)","(80.67, 1.46)","(43.92, 1.31)","(39.26, 0.77)","(85.69, 1.47)","(71.12, 0.38)","(110.67, 2.57)","(85.41, 1.55)"
emt-dlfr,"(78.62, 0.25)","(78.65, 0.25)","(79.83, 0.07)","(79.92, 0.07)","(43.44, 0.41)","(39.07, 0.12)","(86.99, 0.71)","(70.36, 0.48)","(112.0, 1.9)","(86.67, 0.73)"
emt-dlfr,"(78.48, 0.07)","(78.46, 0.11)","(79.73, 0.13)","(79.77, 0.14)","(45.53, 0.67)","(41.11, 0.66)","(84.62, 0.4)","(70.86, 0.29)","(108.2, 0.94)","(84.34, 0.5)"
emt-dlfr,"(78.62, 0.65)","(78.64, 0.65)","(79.72, 0.54)","(79.81, 0.53)","(44.36, 0.68)","(39.6, 0.69)","(85.79, 0.51)","(70.67, 0.25)","(-168.08, 3.32)","(86.07, 0.71)"
emt-dlfr,"(78.72, 0.72)","(78.67, 0.69)","(80.13, 0.73)","(80.15, 0.68)","(45.67, 1.69)","(40.67, 1.24)","(84.58, 1.98)","(70.83, 1.15)","(-168.14, 9.23)","(85.3, 2.0)"
emt-dlfr,"(78.48, 0.34)","(78.46, 0.3)","(79.67, 0.52)","(79.72, 0.46)","(45.48, 1.4)","(40.67, 1.15)","(85.22, 2.08)","(70.95, 0.54)","(-172.46, 8.49)","(85.03, 2.36)"
emt-dlfr,"(78.81, 0.5)","(78.86, 0.49)","(79.83, 0.4)","(79.93, 0.4)","(43.93, 1.08)","(39.89, 0.9)","(90.06, 1.35)","(66.25, 0.51)","(-165.82, 3.51)","(89.89, 0.9)"
emt-dlfr,"(78.67, 0.36)","(78.72, 0.36)","(79.47, 0.31)","(79.59, 0.31)","(43.88, 0.63)","(39.84, 0.6)","(91.3, 0.93)","(65.83, 0.29)","(-137.95, 2.38)","(91.5, 0.92)"
emt-dlfr,"(78.81, 1.27)","(78.81, 1.33)","(79.98, 1.24)","(80.04, 1.29)","(44.36, 1.2)","(39.6, 0.48)","(89.86, 1.91)","(66.58, 1.02)","(-135.14, 6.68)","(90.06, 1.85)"
emt-dlfr,"(79.15, 1.05)","(79.16, 1.04)","(80.23, 1.27)","(80.3, 1.26)","(43.68, 0.37)","(39.02, 0.49)","(89.51, 1.24)","(66.66, 0.92)","(-131.55, 6.92)","(89.84, 0.85)"
emt-dlfr,"(78.43, 0.12)","(78.46, 0.15)","(79.57, 0.13)","(79.67, 0.1)","(44.61, 0.21)","(39.55, 0.18)","(86.17, 0.6)","(70.38, 0.41)","(-166.58, 4.55)","(85.91, 0.67)"
emt-dlfr,"(78.72, 0.72)","(78.67, 0.69)","(80.13, 0.73)","(80.15, 0.68)","(45.67, 1.69)","(40.67, 1.24)","(84.58, 1.98)","(70.83, 1.15)","(-168.14, 9.23)","(85.3, 2.0)"
emt-dlfr,"(78.33, 0.34)","(78.34, 0.35)","(79.63, 0.38)","(79.71, 0.38)","(44.7, 1.0)","(40.28, 0.76)","(86.08, 0.07)","(69.95, 0.13)","(-173.51, 5.54)","(86.24, 0.23)"
emt-dlfr,"(78.42, 0.62)","(78.43, 0.59)","(79.73, 0.69)","(79.79, 0.66)","(45.48, 1.44)","(40.77, 1.92)","(85.87, 1.73)","(69.94, 0.4)","(-169.06, 11.07)","(85.9, 2.03)"
emt-dlfr,"(78.67, 0.79)","(78.67, 0.77)","(79.98, 0.88)","(80.05, 0.84)","(45.24, 1.24)","(40.28, 1.29)","(85.68, 2.13)","(70.52, 0.81)","(-168.22, 11.26)","(85.76, 2.22)"
emt-dlfr,"(78.52, 0.79)","(78.48, 0.81)","(80.03, 0.66)","(80.05, 0.66)","(45.43, 0.55)","(40.48, 0.6)","(85.41, 1.33)","(70.19, 0.91)","(-167.94, 9.96)","(85.66, 1.44)"
emt-dlfr,"(79.2, 0.66)","(79.22, 0.63)","(80.44, 0.76)","(80.52, 0.73)","(45.09, 1.34)","(40.33, 1.36)","(84.69, 1.09)","(71.02, 0.18)","(-172.0, 2.3)","(84.83, 1.58)"
emt-dlfr,"(78.33, 1.08)","(78.31, 1.05)","(79.67, 0.94)","(79.72, 0.91)","(45.43, 0.54)","(41.01, 0.37)","(84.58, 1.89)","(70.76, 0.65)","(-166.09, 8.69)","(84.39, 2.28)"
emt-dlfr,"(78.91, 0.3)","(78.9, 0.27)","(80.29, 0.47)","(80.34, 0.43)","(45.29, 1.27)","(40.62, 1.31)","(84.66, 0.37)","(71.22, 0.5)","(-172.61, 1.14)","(84.81, 0.85)"
emt-dlfr,"(78.33, 1.08)","(78.31, 1.05)","(79.67, 0.94)","(79.72, 0.91)","(45.43, 0.54)","(41.01, 0.37)","(84.58, 1.89)","(70.76, 0.65)","(-166.09, 8.69)","(84.39, 2.28)"
