Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(78.09, 0.45)","(78.11, 0.45)","(79.27, 0.43)","(79.36, 0.43)","(46.31, 0.3)","(41.2, 0.54)","(85.45, 1.05)","(70.2, 0.5)","(109.31, 1.82)","(85.06, 1.61)"
emt-dlfr,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,"(77.89, 2.35)","(77.9, 2.38)","(78.66, 2.77)","(78.74, 2.79)","(43.93, 1.68)","(38.09, 2.16)","(90.57, 4.89)","(69.12, 0.72)","(114.98, 6.69)","(90.88, 5.39)"
emt-dlfr,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,"(77.5, 0.73)","(77.53, 0.73)","(78.96, 0.66)","(79.06, 0.66)","(45.14, 1.6)","(40.13, 1.58)","(87.61, 0.84)","(68.99, 0.64)","(111.86, 1.79)","(87.6, 0.7)"
emt-dlfr,"(76.63, 0.18)","(76.68, 0.19)","(77.54, 0.47)","(77.66, 0.48)","(42.13, 0.84)","(37.56, 0.18)","(91.41, 0.63)","(68.49, 0.38)","(115.65, 1.86)","(91.58, 0.9)"
emt-dlfr,"(78.23, 0.86)","(78.21, 0.85)","(79.83, 0.68)","(79.88, 0.67)","(45.67, 1.31)","(40.33, 1.98)","(86.56, 0.51)","(70.02, 0.78)","(110.52, 0.4)","(86.89, 0.75)"
emt-dlfr,"(76.34, 1.58)","(76.38, 1.57)","(77.49, 1.61)","(77.6, 1.58)","(44.36, 2.02)","(39.5, 1.8)","(91.41, 3.16)","(66.71, 1.59)","(114.39, 3.0)","(91.96, 3.16)"
