Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(83.19, 0.6)","(83.13, 0.6)","(85.01, 0.44)","(85.01, 0.43)","(52.92, 1.02)","(46.69, 1.08)","(71.88, 1.25)","(79.2, 0.95)","(71.69, 1.5)","(71.69, 1.5)"
emt-dlfr,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,"(82.94, 1.06)","(82.91, 1.01)","(84.7, 1.28)","(84.72, 1.23)","(52.19, 2.68)","(46.02, 2.65)","(71.81, 1.84)","(79.43, 0.52)","(71.69, 1.85)","(71.69, 1.85)"
emt-dlfr,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,"(82.31, 0.3)","(82.27, 0.26)","(84.2, 0.71)","(84.21, 0.67)","(51.8, 0.77)","(45.82, 0.48)","(72.23, 0.29)","(79.42, 0.18)","(72.38, 0.38)","(72.38, 0.38)"
emt-dlfr,"(82.51, 0.74)","(82.44, 0.72)","(84.3, 0.82)","(84.29, 0.79)","(52.62, 1.33)","(46.41, 0.75)","(71.49, 0.38)","(79.24, 0.72)","(71.02, 0.55)","(71.02, 0.55)"
emt-dlfr,"(82.85, 0.45)","(82.83, 0.45)","(84.4, 0.52)","(84.43, 0.52)","(51.75, 0.72)","(46.02, 0.55)","(72.82, 1.12)","(79.14, 0.39)","(72.52, 1.54)","(72.52, 1.54)"
emt-dlfr,"(82.65, 0.54)","(82.62, 0.51)","(84.45, 0.82)","(84.48, 0.78)","(50.1, 0.77)","(44.31, 0.54)","(74.2, 1.03)","(78.41, 0.52)","(74.25, 1.53)","(74.25, 1.53)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,"(83.09, 0.86)","(82.99, 0.87)","(85.16, 0.87)","(85.12, 0.87)","(54.13, 1.44)","(47.23, 0.93)","(70.36, 0.67)","(79.87, 0.31)","(70.23, 1.12)","(70.23, 1.12)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,"(82.31, 0.37)","(82.22, 0.32)","(84.1, 0.59)","(84.06, 0.54)","(54.57, 1.51)","(47.28, 1.47)","(71.06, 0.87)","(79.5, 0.46)","(70.99, 0.72)","(70.99, 0.72)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,"(82.85, 0.97)","(82.76, 0.95)","(84.81, 1.13)","(84.78, 1.11)","(54.23, 0.95)","(47.04, 0.7)","(71.35, 0.1)","(79.14, 0.16)","(71.03, 0.4)","(71.03, 0.4)"
emt-dlfr,"(82.12, 1.1)","(82.08, 1.08)","(83.94, 1.13)","(83.96, 1.1)","(51.95, 0.65)","(45.77, 0.71)","(73.52, 1.98)","(79.0, 0.48)","(73.31, 2.2)","(73.31, 2.2)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
