Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(51.8, 2.54)","(48.03, 6.96)","(50.51, 3.4)","(46.93, 7.8)","(15.99, 0.48)","(15.99, 0.48)","(143.95, 2.22)","(8.43, 0.48)","(176.38, 1.14)","(143.54, 2.14)"
emt-dlfr,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,"(48.98, 5.47)","(37.64, 13.0)","(47.46, 6.87)","(36.11, 14.47)","(16.52, 1.22)","(16.52, 1.22)","(143.62, 4.31)","(7.58, 0.55)","(173.5, 4.71)","(143.2, 4.03)"
emt-dlfr,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,"(53.79, 1.33)","(52.63, 2.23)","(52.74, 1.83)","(51.8, 2.7)","(16.08, 0.55)","(16.08, 0.55)","(144.84, 1.1)","(7.14, 1.56)","(174.62, 2.36)","(144.84, 0.89)"
emt-dlfr,"(53.59, 0.56)","(52.61, 1.11)","(52.59, 0.86)","(51.82, 1.4)","(16.28, 0.25)","(16.28, 0.25)","(145.53, 0.37)","(7.93, 0.19)","(174.92, 1.32)","(145.54, 0.62)"
emt-dlfr,"(54.03, 0.97)","(52.06, 2.51)","(53.1, 1.48)","(51.3, 2.98)","(16.18, 0.55)","(16.18, 0.55)","(145.74, 1.5)","(7.84, 0.96)","(175.3, 2.54)","(145.7, 1.24)"
emt-dlfr,"(52.48, 3.51)","(50.12, 6.18)","(51.52, 4.33)","(49.35, 6.97)","(16.47, 0.86)","(16.47, 0.86)","(144.56, 3.2)","(7.95, 0.71)","(171.56, 4.75)","(144.16, 3.38)"
emt-dlfr,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,"(54.52, 1.4)","(53.48, 1.75)","(53.86, 2.23)","(53.01, 2.48)","(16.13, 0.5)","(16.13, 0.5)","(144.28, 3.28)","(7.42, 0.54)","(167.73, 4.12)","(143.9, 3.55)"
emt-dlfr,"(55.05, 1.07)","(54.89, 1.29)","(54.88, 1.44)","(54.87, 1.63)","(15.55, 0.48)","(15.55, 0.48)","(142.61, 1.46)","(5.91, 0.87)","(175.37, 4.72)","(142.94, 1.01)"
emt-dlfr,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,"(51.89, 1.57)","(49.11, 3.5)","(50.46, 1.88)","(47.89, 3.82)","(15.94, 0.34)","(15.94, 0.34)","(145.67, 1.09)","(6.92, 1.02)","(174.93, 0.94)","(145.63, 1.1)"
