Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(60.06, 1.89)","(59.64, 2.0)","(60.31, 1.76)","(60.01, 1.96)","(24.39, 0.42)","(23.52, 0.14)","(138.92, 3.34)","(27.17, 1.25)","(166.06, 3.6)","(137.8, 3.44)"
emt-dlfr,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,"(60.98, 3.06)","(60.88, 2.9)","(61.13, 3.14)","(61.16, 2.98)","(22.4, 4.54)","(21.28, 3.74)","(134.81, 4.46)","(28.12, 10.58)","(160.16, 3.7)","(134.5, 4.79)"
emt-dlfr,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,"(58.5, 4.88)","(56.88, 6.78)","(58.44, 6.2)","(56.99, 8.04)","(21.72, 3.53)","(21.18, 3.13)","(137.7, 6.49)","(24.05, 8.05)","(163.13, 5.74)","(137.6, 6.39)"
emt-dlfr,"(63.12, 1.37)","(62.62, 1.11)","(64.43, 1.72)","(64.09, 1.46)","(27.16, 1.31)","(26.0, 1.21)","(127.34, 3.65)","(32.25, 2.96)","(153.37, 1.9)","(126.53, 3.6)"
emt-dlfr,"(62.92, 1.42)","(62.24, 2.48)","(64.17, 1.02)","(63.66, 1.99)","(22.79, 1.72)","(21.82, 1.17)","(130.7, 2.2)","(29.13, 4.47)","(157.63, 0.9)","(130.55, 2.17)"
emt-dlfr,"(58.36, 1.26)","(58.0, 1.23)","(58.13, 1.13)","(57.92, 1.24)","(20.65, 4.08)","(20.16, 3.79)","(140.78, 1.67)","(24.04, 8.37)","(165.62, 1.44)","(141.34, 1.91)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(61.71, 2.68)","(61.2, 2.3)","(62.55, 3.63)","(62.22, 3.25)","(25.46, 0.84)","(24.3, 0.97)","(133.24, 7.08)","(30.52, 1.36)","(153.66, 5.87)","(132.77, 6.92)"
emt-dlfr,"(62.63, 1.74)","(61.62, 2.82)","(63.41, 1.44)","(62.61, 2.14)","(23.23, 2.47)","(22.11, 1.93)","(134.44, 3.32)","(29.8, 5.02)","(163.95, 3.11)","(134.6, 2.96)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(61.47, 1.82)","(61.37, 1.93)","(62.19, 2.0)","(62.21, 2.13)","(25.61, 0.72)","(24.05, 0.55)","(136.11, 3.75)","(31.63, 0.9)","(163.67, 1.53)","(136.25, 3.1)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(60.84, 1.07)","(60.72, 1.27)","(61.08, 1.41)","(61.09, 1.6)","(25.03, 0.72)","(24.25, 0.5)","(134.12, 4.16)","(30.95, 0.71)","(147.73, 4.63)","(133.85, 3.67)"
emt-dlfr,"(62.73, 1.62)","(62.77, 1.61)","(63.26, 1.62)","(63.41, 1.61)","(23.95, 3.77)","(22.69, 3.1)","(134.82, 3.1)","(26.78, 8.11)","(161.78, 2.71)","(135.78, 2.01)"
emt-dlfr,"(61.57, 2.47)","(61.64, 2.49)","(62.45, 2.96)","(62.64, 2.98)","(22.2, 4.6)","(21.43, 4.04)","(135.78, 4.3)","(24.91, 8.29)","(160.17, 4.41)","(135.2, 4.38)"
emt-dlfr,"(61.47, 0.66)","(60.9, 1.38)","(62.6, 0.64)","(62.21, 0.92)","(23.91, 0.55)","(23.08, 0.54)","(131.85, 3.02)","(28.52, 1.37)","(144.9, 1.48)","(132.73, 2.47)"
emt-dlfr,"(60.64, 2.62)","(60.11, 3.34)","(60.77, 3.43)","(60.37, 4.1)","(23.91, 0.31)","(22.5, 0.45)","(138.19, 3.71)","(30.61, 1.51)","(153.98, 5.03)","(137.76, 4.0)"
emt-dlfr,"(56.51, 4.34)","(54.25, 5.65)","(56.05, 5.6)","(53.95, 6.91)","(21.14, 3.82)","(20.8, 3.58)","(141.46, 7.61)","(21.63, 10.51)","(162.46, 8.44)","(141.62, 7.21)"
emt-dlfr,"(59.72, 3.11)","(59.46, 2.8)","(60.16, 3.49)","(60.02, 3.17)","(19.82, 4.65)","(19.73, 4.51)","(136.5, 5.41)","(15.53, 8.76)","(167.64, 6.57)","(136.02, 5.71)"
emt-dlfr,"(58.41, 1.73)","(56.67, 4.07)","(57.93, 2.39)","(56.33, 4.72)","(24.49, 2.42)","(22.79, 1.94)","(143.94, 3.95)","(28.53, 1.58)","(194.57, 4.88)","(143.77, 3.89)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(62.0, 0.66)","(61.84, 0.53)","(62.86, 1.04)","(62.83, 0.98)","(21.48, 3.59)","(20.8, 2.93)","(136.13, 0.63)","(25.12, 5.18)","(162.95, 0.66)","(137.12, 1.05)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,"(60.84, 1.07)","(60.72, 1.27)","(61.08, 1.41)","(61.09, 1.6)","(25.03, 0.72)","(24.25, 0.5)","(134.12, 4.16)","(30.95, 0.71)","(147.73, 4.63)","(133.85, 3.67)"
emt-dlfr,"(62.39, 1.96)","(60.37, 4.24)","(63.87, 1.63)","(62.1, 3.39)","(23.56, 3.4)","(22.84, 3.21)","(131.25, 2.54)","(29.23, 3.19)","(154.77, 1.8)","(131.28, 2.33)"
emt-dlfr,"(57.05, 3.23)","(56.45, 3.23)","(56.61, 3.51)","(56.17, 3.5)","(21.48, 3.54)","(21.09, 3.21)","(137.9, 2.83)","(24.27, 10.31)","(166.29, 5.82)","(137.79, 3.64)"
emt-dlfr,"(64.33, 1.13)","(64.33, 1.22)","(64.68, 1.43)","(64.8, 1.51)","(29.2, 0.48)","(26.72, 0.36)","(128.73, 1.41)","(36.39, 1.44)","(158.72, 1.86)","(128.94, 1.87)"
emt-dlfr,"(51.12, 0.48)","(47.56, 3.53)","(49.49, 0.97)","(46.17, 4.02)","(16.67, 0.37)","(16.62, 0.36)","(147.31, 2.04)","(13.91, 3.99)","(169.96, 2.26)","(147.68, 1.58)"
emt-dlfr,"(60.54, 3.22)","(59.74, 4.09)","(60.26, 3.4)","(59.58, 4.29)","(25.56, 1.58)","(24.15, 1.53)","(141.42, 9.34)","(30.67, 3.45)","(170.05, 9.74)","(141.94, 9.03)"
emt-dlfr,"(59.96, 1.91)","(59.79, 1.96)","(60.42, 2.17)","(60.37, 2.24)","(25.12, 0.48)","(24.15, 0.88)","(133.65, 4.6)","(30.58, 3.76)","(161.76, 4.01)","(133.27, 4.81)"
emt-dlfr,"(61.71, 3.68)","(61.43, 4.05)","(61.74, 4.25)","(61.59, 4.58)","(23.13, 5.0)","(22.16, 4.28)","(134.44, 7.14)","(27.47, 10.63)","(162.26, 6.84)","(133.76, 6.68)"
emt-dlfr,"(61.32, 1.82)","(61.29, 1.77)","(61.48, 1.98)","(61.58, 1.93)","(25.17, 3.22)","(24.2, 3.0)","(131.96, 4.54)","(31.54, 4.35)","(160.5, 5.33)","(131.88, 5.23)"
emt-dlfr,"(63.17, 0.77)","(63.16, 0.76)","(63.82, 0.52)","(63.93, 0.52)","(26.53, 0.52)","(24.93, 0.48)","(131.22, 3.25)","(30.98, 1.99)","(159.24, 4.22)","(131.23, 4.3)"
emt-dlfr,"(63.26, 0.78)","(63.36, 0.78)","(63.87, 0.76)","(64.08, 0.76)","(26.87, 1.13)","(25.17, 0.77)","(133.19, 1.01)","(31.88, 2.66)","(162.01, 1.19)","(133.38, 0.24)"
emt-dlfr,"(63.36, 1.79)","(63.24, 1.85)","(63.31, 1.89)","(63.33, 1.95)","(24.3, 0.45)","(22.79, 0.61)","(135.98, 4.65)","(31.38, 2.24)","(164.06, 3.65)","(136.04, 4.07)"
emt-dlfr,"(62.63, 1.43)","(62.53, 1.54)","(62.86, 1.56)","(62.87, 1.65)","(25.8, 0.97)","(24.74, 0.95)","(132.01, 2.15)","(32.49, 2.27)","(159.88, 1.5)","(132.09, 2.09)"
emt-dlfr,"(62.29, 1.41)","(62.33, 1.41)","(62.85, 1.33)","(63.01, 1.35)","(26.97, 0.94)","(25.6, 0.9)","(131.11, 0.95)","(31.24, 1.54)","(159.35, 1.3)","(131.45, 1.44)"
emt-dlfr,"(62.34, 2.1)","(62.36, 2.09)","(62.96, 2.37)","(63.1, 2.36)","(25.61, 1.31)","(24.39, 1.17)","(134.33, 4.29)","(30.38, 3.12)","(161.93, 5.68)","(134.23, 5.02)"
emt-dlfr,"(62.15, 1.46)","(62.08, 1.61)","(62.75, 1.78)","(62.8, 1.93)","(24.78, 1.55)","(23.57, 1.19)","(130.67, 2.93)","(31.07, 1.69)","(159.18, 3.71)","(130.66, 3.25)"
