Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(58.21, 2.26)","(57.82, 2.54)","(58.03, 2.81)","(57.79, 3.05)","(17.59, 0.56)","(17.45, 0.36)","(143.34, 4.39)","(13.18, 2.73)","(171.56, 4.81)","(143.46, 4.23)"
emt-dlfr,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,"(52.82, 6.05)","(47.01, 13.84)","(51.98, 7.37)","(46.26, 15.23)","(19.0, 3.13)","(18.85, 2.93)","(143.71, 4.3)","(12.23, 5.0)","(158.04, 4.9)","(143.45, 4.34)"
emt-dlfr,"(57.0, 1.69)","(56.66, 1.77)","(57.11, 2.26)","(56.91, 2.29)","(18.85, 3.31)","(18.76, 3.17)","(140.56, 3.48)","(11.94, 4.65)","(164.12, 4.49)","(140.16, 3.72)"
emt-dlfr,"(58.26, 1.74)","(58.01, 1.91)","(58.28, 1.45)","(58.16, 1.64)","(21.77, 3.34)","(21.24, 2.97)","(139.05, 5.45)","(17.77, 8.83)","(168.38, 6.64)","(139.78, 5.64)"
emt-dlfr,"(62.54, 0.24)","(62.31, 0.52)","(62.25, 0.31)","(62.17, 0.58)","(26.53, 1.58)","(24.39, 1.72)","(134.94, 1.54)","(31.75, 1.52)","(165.1, 2.21)","(133.56, 1.61)"
emt-dlfr,"(52.77, 6.22)","(46.17, 12.05)","(51.17, 6.81)","(44.66, 12.74)","(17.35, 3.53)","(16.86, 2.86)","(147.01, 2.02)","(17.97, 6.28)","(170.67, 2.32)","(147.16, 1.72)"
emt-dlfr,"(59.72, 1.5)","(59.41, 1.26)","(59.35, 1.3)","(59.2, 1.1)","(21.86, 0.86)","(20.75, 0.56)","(140.17, 4.42)","(26.29, 3.59)","(169.77, 3.96)","(140.27, 3.71)"
