Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(71.38, 0.6)","(71.43, 0.59)","(71.8, 0.87)","(71.94, 0.85)","(37.03, 1.49)","(32.22, 1.05)","(106.01, 3.33)","(54.55, 1.27)","(134.08, 4.68)","(106.19, 4.02)"
emt-dlfr,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,"(72.35, 0.18)","(72.42, 0.18)","(72.87, 0.25)","(73.02, 0.24)","(31.59, 2.97)","(28.38, 1.51)","(109.1, 4.03)","(54.56, 2.46)","(134.81, 4.85)","(109.57, 3.67)"
emt-dlfr,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,"(72.4, 0.75)","(72.46, 0.76)","(72.97, 0.59)","(73.11, 0.59)","(35.38, 1.9)","(31.49, 1.34)","(108.23, 3.62)","(54.37, 0.86)","(133.87, 4.68)","(108.26, 4.26)"
emt-dlfr,"(71.38, 0.48)","(71.44, 0.48)","(72.21, 0.69)","(72.36, 0.68)","(37.61, 1.06)","(33.24, 0.9)","(105.47, 0.64)","(54.95, 1.26)","(131.02, 1.33)","(104.72, 1.02)"
emt-dlfr,"(71.72, 0.78)","(71.71, 0.75)","(72.31, 1.0)","(72.38, 0.95)","(36.74, 3.89)","(32.65, 2.86)","(106.76, 3.83)","(55.7, 1.04)","(132.47, 4.26)","(106.68, 4.16)"
emt-dlfr,"(70.65, 0.79)","(70.66, 0.83)","(71.75, 0.68)","(71.86, 0.7)","(31.34, 1.24)","(28.82, 1.85)","(111.5, 0.6)","(49.35, 0.63)","(133.22, 1.84)","(111.09, 0.63)"
