Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(50.87, 4.83)","(44.1, 12.14)","(49.6, 5.97)","(42.92, 13.31)","(16.28, 1.01)","(16.28, 1.01)","(145.6, 3.83)","(8.12, 0.95)","(174.17, 3.74)","(145.28, 3.83)"
emt-dlfr,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,"(53.4, 5.65)","(47.81, 13.13)","(52.54, 6.78)","(47.03, 14.37)","(16.91, 2.0)","(16.76, 1.8)","(142.73, 3.76)","(10.96, 4.66)","(170.75, 4.18)","(142.22, 3.12)"
emt-dlfr,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,"(50.53, 4.14)","(43.52, 11.25)","(48.63, 4.57)","(41.77, 11.84)","(16.96, 1.41)","(16.96, 1.41)","(145.56, 1.42)","(9.2, 1.94)","(173.95, 3.12)","(145.43, 1.76)"
emt-dlfr,"(56.03, 0.34)","(56.0, 0.43)","(55.95, 0.37)","(56.06, 0.48)","(16.23, 0.25)","(16.23, 0.25)","(147.46, 3.43)","(4.97, 2.97)","(176.08, 2.65)","(147.28, 3.35)"
emt-dlfr,"(55.1, 0.82)","(54.99, 1.01)","(54.68, 1.07)","(54.74, 1.28)","(15.55, 0.18)","(15.55, 0.18)","(143.13, 0.9)","(6.38, 1.48)","(171.22, 2.9)","(142.73, 1.16)"
emt-dlfr,"(54.18, 1.9)","(53.31, 2.83)","(53.51, 2.5)","(52.82, 3.38)","(15.79, 0.48)","(15.79, 0.48)","(144.91, 2.06)","(7.04, 0.79)","(171.87, 1.06)","(144.98, 2.18)"
