Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(53.25, 1.0)","(51.97, 1.7)","(52.14, 1.4)","(51.07, 2.08)","(15.5, 0.18)","(15.5, 0.18)","(143.07, 0.45)","(8.26, 0.87)","(166.61, 1.75)","(143.16, 0.35)"
emt-dlfr,"(51.56, 5.02)","(45.8, 12.91)","(50.61, 6.16)","(44.93, 14.16)","(17.1, 0.59)","(17.1, 0.59)","(143.63, 2.74)","(7.38, 0.88)","(176.21, 6.09)","(143.94, 2.31)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(50.88, 4.41)","(44.58, 11.96)","(49.55, 5.23)","(43.34, 12.93)","(18.46, 2.71)","(18.37, 2.58)","(145.05, 2.38)","(9.93, 4.11)","(173.36, 3.64)","(144.71, 2.27)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(53.69, 1.91)","(52.61, 3.06)","(53.05, 2.68)","(52.14, 3.77)","(16.28, 0.68)","(16.28, 0.68)","(145.63, 2.92)","(6.22, 1.57)","(160.05, 3.61)","(145.23, 3.12)"
emt-dlfr,"(55.93, 0.59)","(56.0, 0.62)","(55.89, 0.72)","(56.12, 0.75)","(15.55, 0.3)","(15.55, 0.3)","(142.29, 0.43)","(6.45, 0.69)","(171.25, 1.18)","(141.8, 1.1)"
emt-dlfr,"(51.61, 3.4)","(49.24, 6.15)","(50.56, 4.14)","(48.37, 6.87)","(16.91, 0.72)","(16.81, 0.66)","(146.53, 3.32)","(6.51, 1.39)","(175.48, 3.62)","(146.12, 3.62)"
emt-dlfr,"(55.2, 1.32)","(54.79, 1.36)","(55.03, 1.88)","(54.76, 1.87)","(15.74, 0.12)","(15.74, 0.12)","(143.67, 2.23)","(5.29, 1.91)","(149.43, 2.65)","(143.23, 2.54)"
emt-dlfr,"(53.69, 1.91)","(52.61, 3.06)","(53.05, 2.68)","(52.14, 3.77)","(16.28, 0.68)","(16.28, 0.68)","(145.63, 2.92)","(6.22, 1.57)","(160.05, 3.61)","(145.23, 3.12)"
emt-dlfr,"(50.34, 4.18)","(43.62, 11.55)","(48.78, 4.97)","(42.18, 12.44)","(16.32, 0.31)","(16.32, 0.31)","(146.75, 3.72)","(8.0, 0.52)","(167.47, 4.18)","(146.74, 3.51)"
emt-dlfr,"(50.15, 2.48)","(46.02, 4.28)","(48.37, 2.64)","(44.48, 4.48)","(16.28, 0.68)","(16.28, 0.68)","(146.52, 1.07)","(8.63, 0.66)","(180.92, 2.65)","(146.51, 0.87)"
emt-dlfr,"(50.15, 2.48)","(46.02, 4.28)","(48.37, 2.64)","(44.48, 4.48)","(16.28, 0.68)","(16.28, 0.68)","(146.52, 1.07)","(8.63, 0.66)","(180.92, 2.65)","(146.51, 0.87)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(54.52, 2.23)","(53.66, 3.51)","(54.12, 3.08)","(53.43, 4.31)","(16.04, 0.31)","(16.04, 0.31)","(144.28, 2.25)","(6.28, 0.27)","(173.18, 2.43)","(144.32, 2.32)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,"(53.69, 1.91)","(52.61, 3.06)","(53.05, 2.68)","(52.14, 3.77)","(16.28, 0.68)","(16.28, 0.68)","(145.63, 2.92)","(6.22, 1.57)","(160.05, 3.61)","(145.23, 3.12)"
emt-dlfr,"(54.03, 1.08)","(52.97, 1.52)","(52.95, 1.17)","(52.09, 1.62)","(18.37, 2.39)","(18.13, 2.05)","(145.59, 0.67)","(10.06, 3.03)","(171.25, 2.18)","(145.88, 0.19)"
emt-dlfr,"(53.25, 3.66)","(48.5, 8.09)","(52.95, 5.1)","(48.34, 9.44)","(18.95, 3.22)","(18.71, 2.88)","(145.78, 5.86)","(10.33, 3.66)","(175.38, 4.43)","(146.04, 5.67)"
emt-dlfr,"(57.97, 1.01)","(57.67, 1.4)","(57.98, 1.13)","(57.81, 1.52)","(23.42, 0.9)","(22.59, 1.03)","(142.21, 2.4)","(20.99, 0.59)","(174.04, 1.88)","(141.46, 2.63)"
emt-dlfr,"(48.5, 3.33)","(39.42, 9.92)","(46.75, 3.92)","(37.7, 10.66)","(16.38, 0.42)","(16.38, 0.42)","(147.14, 4.28)","(9.35, 1.3)","(173.37, 5.66)","(147.45, 4.48)"
emt-dlfr,"(54.52, 1.19)","(54.1, 1.71)","(54.32, 1.77)","(54.06, 2.27)","(17.25, 1.9)","(17.25, 1.9)","(141.86, 3.6)","(10.88, 3.05)","(171.75, 4.31)","(141.58, 3.54)"
emt-dlfr,"(54.03, 1.37)","(53.18, 1.61)","(53.41, 1.45)","(52.72, 1.68)","(18.46, 1.67)","(18.03, 1.25)","(148.25, 6.88)","(12.65, 2.63)","(178.45, 6.51)","(148.61, 7.08)"
emt-dlfr,"(52.92, 4.0)","(51.07, 6.38)","(52.59, 4.97)","(50.88, 7.33)","(17.69, 1.43)","(17.64, 1.49)","(144.75, 8.08)","(10.89, 2.79)","(172.97, 6.91)","(144.13, 8.02)"
emt-dlfr,"(51.94, 3.47)","(46.35, 9.29)","(50.51, 4.27)","(45.07, 10.16)","(17.59, 0.67)","(17.49, 0.78)","(145.42, 3.71)","(11.11, 3.04)","(176.17, 2.79)","(145.22, 2.89)"
emt-dlfr,"(52.04, 4.84)","(45.69, 12.12)","(51.47, 6.24)","(45.21, 13.55)","(16.47, 1.09)","(16.47, 1.09)","(147.4, 7.39)","(8.23, 1.2)","(177.75, 7.33)","(147.28, 6.73)"
emt-dlfr,"(51.46, 3.66)","(45.9, 10.39)","(50.3, 4.7)","(44.87, 11.46)","(16.96, 2.15)","(16.96, 2.15)","(144.13, 2.12)","(8.29, 7.06)","(173.83, 2.28)","(143.91, 2.19)"
emt-dlfr,"(54.71, 2.31)","(53.59, 3.8)","(54.12, 3.06)","(53.18, 4.51)","(18.9, 1.42)","(18.85, 1.38)","(141.05, 5.2)","(14.09, 3.96)","(170.64, 5.45)","(140.95, 4.89)"
emt-dlfr,"(50.92, 1.58)","(44.83, 5.84)","(49.14, 1.87)","(43.2, 6.22)","(15.89, 0.12)","(15.89, 0.12)","(148.7, 4.92)","(7.13, 1.6)","(179.8, 4.94)","(148.72, 5.14)"
emt-dlfr,"(50.1, 3.24)","(41.71, 9.09)","(48.12, 3.66)","(39.87, 9.64)","(16.18, 0.52)","(16.18, 0.52)","(148.55, 1.55)","(5.54, 1.81)","(178.19, 1.66)","(147.95, 1.34)"
emt-dlfr,"(55.05, 0.25)","(54.85, 0.17)","(54.52, 0.15)","(54.5, 0.11)","(16.91, 0.67)","(16.91, 0.67)","(143.01, 0.94)","(8.68, 2.66)","(172.07, 2.51)","(143.33, 0.65)"
emt-dlfr,"(54.18, 0.45)","(53.28, 1.12)","(53.61, 0.47)","(52.86, 1.11)","(19.1, 1.6)","(18.66, 1.37)","(148.13, 5.28)","(12.78, 4.61)","(178.14, 6.18)","(148.18, 5.67)"
emt-dlfr,"(55.93, 1.58)","(55.24, 1.89)","(55.74, 2.2)","(55.2, 2.48)","(18.71, 1.69)","(18.32, 1.47)","(143.89, 4.72)","(12.97, 4.61)","(174.14, 5.71)","(144.19, 4.39)"
emt-dlfr,"(51.36, 4.68)","(45.39, 12.53)","(50.15, 5.6)","(44.27, 13.58)","(17.74, 3.13)","(17.54, 2.85)","(145.52, 1.7)","(10.78, 4.58)","(174.19, 1.52)","(144.78, 1.21)"
emt-dlfr,"(56.03, 0.6)","(55.75, 0.97)","(56.05, 0.87)","(55.9, 1.21)","(17.98, 3.79)","(17.69, 3.38)","(142.85, 2.85)","(11.58, 5.6)","(173.77, 4.81)","(143.28, 3.03)"
emt-dlfr,"(51.36, 4.68)","(45.39, 12.53)","(50.15, 5.6)","(44.27, 13.58)","(17.74, 3.13)","(17.54, 2.85)","(145.52, 1.7)","(10.78, 4.58)","(174.19, 1.52)","(144.78, 1.21)"
emt-dlfr,"(53.31, 2.99)","(49.76, 7.5)","(52.19, 3.86)","(48.81, 8.36)","(18.03, 2.21)","(17.93, 2.08)","(146.15, 4.78)","(11.46, 3.91)","(177.13, 3.85)","(145.88, 4.07)"
emt-dlfr,"(57.14, 0.41)","(56.64, 0.78)","(57.01, 0.66)","(56.64, 1.0)","(21.38, 0.25)","(20.46, 0.56)","(144.01, 5.21)","(18.54, 2.28)","(-26.87, 4.42)","(144.34, 5.97)"
emt-dlfr,"(57.24, 0.77)","(57.28, 0.79)","(57.26, 0.75)","(57.44, 0.78)","(24.05, 1.14)","(22.64, 0.8)","(143.68, 1.32)","(20.23, 1.27)","(-40.03, 29.85)","(144.07, 2.18)"
emt-dlfr,"(57.24, 0.77)","(57.28, 0.79)","(57.26, 0.75)","(57.44, 0.78)","(24.05, 1.14)","(22.64, 0.8)","(143.68, 1.32)","(20.23, 1.27)","(-40.03, 29.85)","(144.07, 2.18)"
emt-dlfr,"(53.94, 1.05)","(52.8, 1.82)","(53.4, 1.51)","(52.42, 2.25)","(20.11, 1.14)","(19.77, 1.08)","(143.49, 3.19)","(15.24, 0.64)","(28.67, 13.86)","(142.96, 3.03)"
emt-dlfr,"(54.86, 2.63)","(52.97, 5.14)","(54.42, 3.29)","(52.65, 5.83)","(19.05, 1.64)","(18.66, 1.49)","(148.82, 9.85)","(13.6, 3.03)","(171.9, 9.35)","(148.86, 10.19)"
emt-dlfr,"(53.06, 2.81)","(48.62, 6.68)","(51.88, 3.5)","(47.57, 7.4)","(19.0, 2.51)","(18.42, 2.02)","(150.25, 6.53)","(16.91, 1.6)","(6.14, 10.39)","(150.3, 6.75)"
emt-dlfr,"(53.11, 3.23)","(50.85, 5.61)","(52.18, 3.81)","(50.08, 6.2)","(20.07, 1.38)","(19.68, 1.17)","(147.09, 2.66)","(15.87, 2.34)","(12.39, 1.89)","(146.67, 2.33)"
emt-dlfr,"(56.32, 0.6)","(56.1, 0.7)","(56.2, 0.8)","(56.14, 1.03)","(20.16, 1.92)","(19.88, 1.74)","(141.82, 2.75)","(15.81, 0.57)","(24.94, 9.65)","(141.5, 2.42)"
emt-dlfr,"(53.84, 0.84)","(51.75, 2.33)","(52.74, 1.32)","(50.85, 2.81)","(17.11, 1.3)","(17.01, 1.27)","(148.12, 5.01)","(9.76, 0.86)","(53.5, 1.55)","(148.55, 5.05)"
emt-dlfr,"(54.03, 1.64)","(52.34, 2.38)","(53.1, 2.08)","(51.59, 2.87)","(17.98, 1.72)","(17.78, 1.45)","(146.76, 1.96)","(10.7, 2.25)","(15.1, 6.21)","(146.56, 1.63)"
emt-dlfr,"(53.6, 1.39)","(51.88, 2.55)","(52.44, 1.68)","(50.93, 2.85)","(17.16, 0.14)","(17.16, 0.14)","(144.49, 2.66)","(11.15, 0.75)","(-11.74, 19.14)","(144.43, 2.26)"
emt-dlfr,"(55.35, 2.33)","(53.9, 4.27)","(54.42, 2.83)","(53.17, 4.78)","(19.92, 1.43)","(19.44, 1.27)","(149.88, 9.03)","(15.31, 1.3)","(7.81, 36.04)","(149.74, 8.8)"
emt-dlfr,"(54.52, 0.74)","(54.21, 1.15)","(54.17, 1.06)","(54.02, 1.47)","(18.37, 2.22)","(17.98, 1.73)","(147.66, 5.91)","(7.41, 1.37)","(3.53, 17.48)","(147.45, 6.12)"
emt-dlfr,"(52.09, 2.8)","(48.68, 5.49)","(51.07, 3.62)","(47.8, 6.3)","(15.65, 0.18)","(15.65, 0.18)","(147.64, 5.93)","(7.56, 3.29)","(5.04, 35.59)","(147.65, 5.56)"
emt-dlfr,"(56.56, 1.56)","(55.21, 3.63)","(56.3, 2.2)","(55.07, 4.29)","(18.47, 0.88)","(18.32, 0.86)","(142.85, 4.89)","(16.63, 0.44)","(8.35, 18.74)","(142.96, 4.85)"
emt-dlfr,"(49.46, 6.36)","(38.45, 14.23)","(47.92, 7.73)","(36.91, 15.69)","(17.1, 1.22)","(17.1, 1.22)","(147.73, 6.92)","(12.24, 3.25)","(175.23, 6.81)","(147.91, 6.2)"
emt-dlfr,"(55.35, 0.79)","(54.94, 0.7)","(55.39, 1.25)","(55.11, 0.97)","(15.79, 0.14)","(15.79, 0.14)","(141.83, 1.6)","(6.19, 1.34)","(170.93, 0.14)","(142.25, 1.59)"
emt-dlfr,"(57.39, 0.38)","(56.6, 0.92)","(57.27, 0.69)","(56.62, 1.29)","(22.6, 0.52)","(22.01, 0.43)","(140.13, 4.48)","(22.45, 0.94)","(172.52, 4.68)","(139.97, 4.49)"
emt-dlfr,"(57.77, 1.6)","(56.89, 1.91)","(57.32, 1.73)","(56.58, 2.04)","(21.52, 1.12)","(21.28, 1.05)","(141.79, 0.41)","(21.93, 3.48)","(174.38, 1.1)","(141.6, 0.25)"
emt-dlfr,"(56.07, 0.81)","(54.36, 1.13)","(55.18, 0.87)","(53.64, 1.27)","(20.85, 1.32)","(20.22, 1.31)","(141.22, 1.76)","(22.07, 1.16)","(174.2, 1.64)","(140.85, 1.75)"
emt-dlfr,"(57.0, 0.67)","(55.42, 1.85)","(56.55, 1.02)","(55.1, 2.19)","(20.07, 1.62)","(19.73, 1.55)","(141.65, 5.15)","(20.72, 3.73)","(174.73, 6.56)","(141.12, 5.25)"
emt-dlfr,"(56.07, 1.62)","(53.59, 4.02)","(55.28, 2.34)","(52.96, 4.76)","(19.92, 1.86)","(19.39, 1.64)","(142.16, 4.39)","(22.1, 1.92)","(174.54, 5.06)","(141.3, 4.8)"
emt-dlfr,"(54.76, 0.81)","(53.66, 0.98)","(54.17, 0.92)","(53.22, 1.08)","(19.0, 1.9)","(18.66, 1.68)","(143.8, 2.69)","(17.62, 2.78)","(177.39, 3.57)","(144.29, 2.54)"
emt-dlfr,"(56.27, 0.55)","(56.29, 0.56)","(56.4, 0.69)","(56.56, 0.69)","(21.62, 0.88)","(21.14, 0.67)","(138.88, 2.24)","(20.11, 2.41)","(173.56, 3.17)","(138.83, 2.19)"
emt-dlfr,"(57.0, 2.07)","(56.56, 2.58)","(56.81, 2.26)","(56.5, 2.76)","(22.89, 0.52)","(22.06, 0.38)","(143.66, 6.84)","(18.68, 2.02)","(-12.07, 11.59)","(143.84, 6.81)"
emt-dlfr,"(56.56, 1.72)","(56.35, 1.42)","(56.81, 1.8)","(56.74, 1.58)","(20.46, 2.01)","(19.78, 1.75)","(142.86, 2.95)","(17.93, 3.61)","(-20.13, 4.48)","(143.04, 2.61)"
emt-dlfr,"(57.24, 0.5)","(56.43, 0.31)","(56.71, 0.54)","(56.06, 0.36)","(21.87, 0.43)","(21.19, 0.18)","(141.52, 3.32)","(22.24, 0.3)","(-4.13, 13.7)","(141.34, 2.94)"
emt-dlfr,"(58.55, 0.79)","(58.28, 0.61)","(58.13, 0.56)","(58.03, 0.6)","(21.04, 0.99)","(19.87, 1.03)","(147.02, 0.74)","(14.86, 2.52)","(-18.54, 4.14)","(146.21, 0.7)"
emt-dlfr,"(60.98, 0.89)","(60.17, 1.07)","(61.08, 1.52)","(60.39, 1.72)","(20.65, 0.9)","(19.39, 0.97)","(136.25, 5.91)","(22.35, 1.7)","(-9.9, 14.49)","(136.19, 5.83)"
emt-dlfr,"(58.99, 1.92)","(58.3, 2.08)","(58.44, 2.12)","(57.91, 2.32)","(20.02, 1.0)","(19.1, 1.34)","(143.26, 6.69)","(19.08, 4.51)","(13.06, 2.4)","(143.31, 6.81)"
emt-dlfr,"(56.95, 0.89)","(56.71, 1.16)","(57.01, 1.0)","(56.9, 1.27)","(21.67, 1.44)","(20.65, 1.33)","(142.35, 1.02)","(20.92, 1.18)","(-64.29, 8.37)","(142.36, 1.19)"
emt-dlfr,"(56.56, 1.72)","(56.35, 1.42)","(56.81, 1.8)","(56.74, 1.58)","(20.46, 2.01)","(19.78, 1.75)","(142.86, 2.95)","(17.93, 3.61)","(-20.13, 4.48)","(143.04, 2.61)"
emt-dlfr,"(56.61, 0.54)","(56.29, 0.54)","(56.4, 0.43)","(56.23, 0.56)","(22.11, 0.79)","(21.57, 0.86)","(144.82, 1.61)","(20.1, 2.75)","(-29.96, 11.65)","(144.51, 1.65)"
emt-dlfr,"(56.9, 1.24)","(56.63, 1.4)","(57.17, 1.22)","(57.01, 1.4)","(21.67, 1.11)","(20.9, 0.89)","(144.09, 0.99)","(20.55, 1.94)","(-38.77, 7.11)","(143.82, 1.21)"
emt-dlfr,"(57.24, 0.18)","(56.81, 0.66)","(57.27, 0.76)","(56.98, 1.22)","(21.77, 0.91)","(20.7, 0.83)","(141.6, 4.73)","(20.46, 1.07)","(-33.5, 30.06)","(141.82, 4.94)"
emt-dlfr,"(57.92, 0.48)","(57.19, 0.35)","(57.82, 0.19)","(57.22, 0.61)","(21.81, 0.9)","(21.04, 0.96)","(141.57, 3.77)","(22.31, 2.51)","(-8.31, 23.81)","(141.85, 3.81)"
emt-dlfr,"(57.34, 0.61)","(57.43, 0.59)","(57.67, 0.64)","(57.91, 0.61)","(22.16, 0.41)","(21.43, 0.43)","(139.14, 3.47)","(18.48, 2.17)","(-6.94, 5.07)","(139.12, 3.43)"
emt-dlfr,"(57.04, 1.44)","(56.49, 1.86)","(57.01, 1.81)","(56.58, 2.22)","(21.91, 1.0)","(20.65, 0.79)","(144.39, 3.96)","(21.2, 1.87)","(-7.77, 5.44)","(144.53, 3.09)"
emt-dlfr,"(57.29, 1.52)","(56.81, 1.98)","(57.16, 1.81)","(56.82, 2.28)","(21.14, 0.78)","(20.36, 0.66)","(141.91, 3.97)","(21.8, 1.51)","(-4.02, 7.87)","(142.0, 3.72)"
emt-dlfr,"(57.04, 1.44)","(56.49, 1.86)","(57.01, 1.81)","(56.58, 2.22)","(21.91, 1.0)","(20.65, 0.79)","(144.39, 3.96)","(21.2, 1.87)","(-7.77, 5.44)","(144.53, 3.09)"
