Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(79.88, 1.24)","(79.85, 1.27)","(81.55, 1.08)","(81.59, 1.1)","(48.49, 1.02)","(42.62, 0.56)","(79.1, 0.91)","(75.15, 0.11)","(104.68, 2.16)","(78.93, 0.94)"
emt-dlfr,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,"(79.93, 0.86)","(79.91, 0.83)","(81.3, 1.11)","(81.33, 1.09)","(46.11, 1.42)","(41.4, 1.49)","(80.59, 2.57)","(75.1, 0.87)","(104.6, 3.31)","(80.45, 2.75)"
emt-dlfr,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,"(80.56, 0.75)","(80.54, 0.7)","(82.11, 0.9)","(82.15, 0.85)","(48.98, 0.86)","(43.05, 0.54)","(78.02, 0.51)","(75.21, 0.16)","(101.41, 0.91)","(77.71, 0.21)"
emt-dlfr,"(80.32, 0.86)","(80.29, 0.85)","(82.06, 0.83)","(82.1, 0.81)","(49.22, 0.73)","(43.93, 0.78)","(77.45, 1.19)","(75.85, 0.48)","(100.5, 2.13)","(77.44, 1.28)"
emt-dlfr,"(80.17, 0.12)","(80.08, 0.13)","(82.06, 0.29)","(82.05, 0.27)","(48.2, 0.37)","(42.76, 0.81)","(78.66, 0.58)","(75.27, 0.36)","(102.53, 0.9)","(78.78, 0.57)"
emt-dlfr,"(80.95, 1.37)","(80.8, 1.28)","(82.92, 1.51)","(82.85, 1.42)","(48.59, 0.7)","(43.15, 0.6)","(79.18, 3.63)","(74.37, 2.37)","(101.15, 3.98)","(78.89, 3.62)"
emt-dlfr,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,"(79.93, 0.95)","(79.87, 0.89)","(81.6, 1.07)","(81.61, 1.01)","(48.44, 1.89)","(43.39, 1.74)","(79.23, 1.69)","(75.07, 0.63)","(97.77, 1.43)","(79.37, 1.45)"
emt-dlfr,"(79.45, 0.86)","(79.45, 0.83)","(81.05, 1.0)","(81.12, 0.98)","(48.98, 1.86)","(43.29, 1.46)","(79.66, 2.73)","(75.21, 1.17)","(103.39, 2.58)","(79.96, 2.62)"
emt-dlfr,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
