
========== ours ==========
Has0_acc_2: 82.85, 81.20, 77.75, 75.85, 72.84, 65.31, 65.31, 62.73, 57.29, 55.93, 50.92
Has0_F1_score: 82.76, 81.12, 77.80, 75.72, 72.90, 65.21, 65.32, 62.77, 56.48, 56.00, 44.82
Non0_acc_2: 84.81, 82.93, 79.01, 77.33, 73.38, 66.21, 65.55, 63.26, 56.71, 55.89, 49.59
Non0_F1_score: 84.78, 82.92, 79.14, 77.30, 73.51, 66.23, 65.68, 63.41, 56.08, 56.12, 43.58
Mult_acc_5: 54.23, 48.49, 43.05, 40.18, 33.24, 28.33, 29.06, 23.95, 19.29, 15.55, 16.71
Mult_acc_7: 47.04, 43.00, 37.90, 35.81, 29.98, 26.77, 27.36, 22.69, 18.95, 15.55, 16.71
MAE: 71.35, 78.06, 89.33, 93.57, 106.49, 121.08, 126.26, 134.82, 140.62, 142.29, 147.39
Corr: 79.14, 75.98, 69.27, 64.54, 55.69, 41.83, 35.93, 26.78, 17.99, 6.45, 7.24
Loss: 71.03, 101.03, 112.62, 119.42, 132.16, 147.63, 151.63, 161.78, 166.74, 171.25, 177.04
Loss(pred_m): 71.03, 78.04, 89.29, 93.91, 107.10, 121.67, 125.90, 135.78, 141.00, 141.80, 147.05

========== backbone ==========
Has0_acc_2: 83.14, 80.37, 77.55, 75.56, 73.23, 67.59, 64.72, 60.84, 52.82, 53.69, 53.98
Has0_F1_score: 83.09, 80.32, 77.57, 75.58, 73.24, 67.60, 64.63, 60.72, 47.01, 52.61, 52.43
Non0_acc_2: 85.06, 82.01, 79.02, 76.78, 73.58, 68.40, 64.84, 61.08, 51.98, 53.05, 53.40
Non0_F1_score: 85.08, 82.03, 79.11, 76.88, 73.68, 68.51, 64.86, 61.09, 46.26, 52.14, 52.02
Mult_acc_5: 51.36, 48.20, 44.22, 41.16, 36.05, 27.16, 26.14, 25.03, 19.00, 16.28, 16.37
Mult_acc_7: 45.19, 42.91, 39.26, 36.44, 31.78, 26.09, 24.83, 24.25, 18.85, 16.28, 16.37
MAE: 72.14, 78.59, 87.99, 94.41, 104.60, 120.15, 131.23, 134.12, 143.71, 145.63, 143.30
Corr: 79.67, 75.41, 69.30, 63.84, 55.78, 43.90, 35.39, 30.95, 12.23, 6.22, 7.32
Loss: 72.25, 91.33, 100.35, 108.15, 117.36, 135.36, 145.20, 147.73, 158.04, 160.05, 158.28
Loss(pred_m): 72.25, 78.63, 87.94, 94.74, 104.00, 120.28, 130.86, 133.85, 143.45, 145.23, 142.94
